tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
32867644,32867645,100,ef94d2daa19e17840d6f9eedd071307a8b682e3f,unknown,ok,,plain,,false,,,,,,,,,,,,4491
50194795,50194796,240,4f6b950a115c15504d3ca1675bf0f2abe97b2ecf,go,broken,0,go,gotest,true,true,14,3,17,0,1,1,0,github.com/HouzuoGuo/tiedot#github.com/HouzuoGuo/tiedot/data#github.com/HouzuoGuo/tiedot/db,45.019999999999996,,4747
139695906,139695910,279,52109f80eb947a2659653535ab07e9aeb232ad35,go,unknown,7,go,gotest,true,false,27,0,27,0,7,7,0,,142.95000000000002,,4779
177660332,177660335,288,fadb60a712a334cd2df91cc6ea73760ee3f211ea,unknown,unknown,,plain,,false,,,,,,,,,,,,4988
246867733,246867734,296,627a0068cf1a0249e2e21fc5c58b26ba21fb4b2c,go,broken,1,go,gotest,true,true,29,2,31,0,6,5,1,TestApproxDocCount-2#github.com/HouzuoGuo/tiedot/data,327.07999999999987,,5003
283650482,283650488,306,8ace1be1f0a12f609e15fc42d9cf8b676e0e87b6,go,unknown,1,go,gotest,true,false,30,0,30,0,7,7,0,,229.81,,5080
296702680,296702683,314,71ea1d3442a279de387c5a673953ee73e67cf53a,go,ok,1,go,gotest,true,false,113,0,113,0,7,7,0,,99.85000000000002,,6661
298431255,298431256,326,29c7b79dc23de0efe9a666ec61883fb5d4ddd98b,go,ok,0,go,gotest,true,false,0,0,,0,5,5,0,,201.11999999999998,,7064
300684768,300684770,349,85d4653c8054b5b2d52483aecdb8d9960cfa0e39,go,unknown,1,go,gotest,true,false,0,0,,0,4,4,0,,401.26,,8877
668877545,668877546,373,6fb216206052eb2ae4306cf5e75acfa88f60d481,go,ok,1,go,gotest,true,false,0,0,,0,4,4,0,,374.24,,7350
