tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
141609663,141609664,100,3446714228cd51da1f9d8f150d61184aa8d6ac15,go,ok,1,go,gotest,true,false,33,0,33,0,4,4,0,,0.0,,2925
311373994,311374000,148,b4530129ab5f0cdf93b05cbb176fd2feaeac19bc,go,broken,0,go,gotest,true,true,40,1,41,0,3,3,0,github.com/caixw/apidoc,0.0,,3344
444685257,444685261,188,ed8113e63e8da315457edb7a3c4a770b22dbf069,go,ok,1,go,gotest,true,false,43,0,43,0,10,10,0,,0.01,,3634
447443927,447443930,207,046b1672f6976fcada8789115633e743d0ff2dd5,go,ok,1,go,gotest,true,false,76,0,76,0,12,12,0,,0.0,,4529
452352900,452352906,224,58287622283b0af235f331db3798a48d07a0e9c4,go,unknown,1,go,gotest,true,false,80,0,80,0,11,11,0,,1.06,,5463
590402112,590402115,242,e9ca02d5a025a7d2933922de221215225258c8aa,unknown,ok,1,plain,,false,,,,,,,,,,,,5523
75818917,75818920,25,5e9310619ed9a6dd19de5c759116bb07e2ecaf3f,go,ok,0,go,gotest,true,false,25,0,25,0,2,2,0,,0,,1726
605515599,605515605,277,8251707674725b83dd1b28ff79f3e17be77d0910,unknown,unknown,1,plain,,false,,,,,,,,,,,,5029
76627355,76627359,29,c5ef22de6a01f7e1b89681238c1fc469adc65b0e,go,broken,0,go,gotest,true,true,22,3,25,0,2,1,1,TestScanFile-2 (0.00#github.com/caixw/apidoc/core#github.com/caixw/apidoc/output,0.03,,1879
73198908,73198912,4,f0398cae968e2f26597282ee26e2a368fdcbd8ac,go,ok,0,go,gotest,true,false,27,0,27,0,2,2,0,,0,,1655
