tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
159143235,159143236,100,ae69bcbe811e93d1f2119eea86378e34dcf46a11,go,ok,12,go,gotest,true,false,38,0,38,0,1,1,0,,1.0800000000000003,,7611
112501950,112501951,12,319d7525fbf81205ea6d9dae412adba794955e96,go,ok,8,go,gotest,true,false,9,0,9,0,2,2,0,,3.0,,2440
195718328,195718329,159,8763796e665af92796cfa614189f9682a5d64ffd,go,ok,7,go,gotest,true,false,52,0,52,0,2,2,0,,3.06,,9403
203628271,203628272,188,963d6c92363793fba256754791a255ae3db8a531,go,ok,7,go,gotest,true,false,59,0,59,0,2,2,0,,1.9800000000000002,,10437
215705533,215705534,216,401ba206d5a76eb378aa2e9e4ff3a14f48191cbf,go,ok,9,go,gotest,true,false,51,0,51,0,1,1,0,,2.19,,10056
231053288,231053289,245,fece7b0ea4e8db8025087c403a098bd35f770641,go,unknown,7,go,gotest,true,false,53,0,53,0,1,1,0,,2.1399999999999997,,10355
256151910,256151911,274,5d620c9c59ad3b699eae6ddb22070b9daa304e4d,go,ok,11,go,gotest,true,false,58,0,58,0,1,1,0,,22.26000000000001,,11775
109764738,109764739,2,ee892ecffbf8e19882eae24b269915796e7a241a,go,ok,6,go,gotest,true,false,5,0,5,0,2,2,0,,0.0,,2087
132661002,132661003,40,87f804cb43ee7e0625cd1886da0d1471ce4d1224,go,ok,8,go,gotest,true,false,18,0,18,0,1,1,0,,0.01,,3540
110265624,110265625,6,b08a1463938ba2ed190e63cc1a93ccbef71d7340,go,ok,8,go,gotest,true,false,5,0,5,0,2,2,0,,0.0,,2084
