tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
275261416,275261420,199,24a152d41c2ac78d655aca379391847522ad46cd,go,unknown,8,go,gotest,true,false,3,0,3,0,1,1,0,,0.04,,36002
290208875,290208880,237,de274429ac21b7e4c2771870ba86ca6d75b2a5d8,go,broken,1,go,,false,,,,,,,,,,,,36776
344542673,344542680,344,dce782237901e2dd2a713434a164e7b43cfb6c62,go,unknown,1,go,gotest,true,false,14,0,14,0,2,2,0,,0.04,,37339
423728118,423728120,414,77088c698bc86a949bc93064d04c3886f3d5a146,go,unknown,5,go,gotest,true,false,0,0,,0,2,2,0,,2.26,,180270
455811337,455811338,469,36015eb68a32bb6faaa753610823e3f4df1c9285,go,ok,5,go,gotest,true,false,0,0,,0,2,2,0,,2.16,,180423
503024838,503024839,512,fa86039c09593f7b258b8c7adbe385db0ad36da4,go,ok,5,go,gotest,true,false,0,0,,0,2,2,0,,2.2,,180587
557591037,557591039,600,9e4da34a9969d62147a94ff58da0a06b2db54413,go,unknown,1,go,gotest,true,false,0,0,,0,2,2,0,,2.27,,2265
100069707,100069709,100,1ee09957ee00e3298b800d18380a840482e45622,go,broken,1,go,,false,,,,,,,,,,,,17003
404554564,404554573,353,1c3bb47298811ec67e503d6e687d76e1be95b60d,go,unknown,35,go,gotest,true,false,0,0,,0,4,4,0,,0.26,,46717
520589141,520589146,373,93c4aff94523aee1230fcf177d99d5836550fd40,go,unknown,25,go,gotest,true,false,0,0,,0,4,4,0,,0.27,,46989
56403433,56403434,78,4e5c719231cbaa3688a5cbea126886b0a9d505e8,go,ok,0,go,gotest,true,false,8,0,8,2,5,5,0,,1.4700000000000002,,3434
290988187,290988188,383,3734113886fb62f8ff9511faf8b78cd61d19fc1e,go,ok,5,go,gotest,true,false,0,0,,0,2,2,0,,0.01,,4794
539566849,539566851,616,26073b40be1635e582e92a54b9da944e48e33afd,go,unknown,10,go,gotest,true,false,0,0,,0,2,2,0,,1.4,,147251
540980061,540980062,691,37f961456d2b7127e722a42bb1bf2666c0ec600d,go,ok,9,go,gotest,true,false,0,0,,0,2,2,0,,0.7,,147386
545484297,545484299,747,81eec922bf0d4e72d67b5393e64e4aebd0599973,go,unknown,10,go,gotest,true,false,0,0,,0,2,2,0,,1.43,,147599
575961360,575961364,789,61938423079584083e6adce5babfeba3cd821e5b,go,ok,203,go,gotest,true,false,0,0,,0,2,2,0,,1.43,,202823
653352948,653352952,832,adb6805659afd4beb86fd2388ddf38e46988121a,unknown,ok,38,plain,,false,,,,,,,,,,,,203776
