tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
114602278,114602279,101,20a5e7bfc5bd70d9fd751c70eced038c61a0d01e,go,ok,13,go,,false,,,,,,,,,,,,3540
309031476,309031478,149,766956aceb8ff49664065ae50bef0ae8a0a83ec4,go,ok,4,go,,false,,,,,,,,,,,,131969
354882549,354882550,188,6620ff469d42d47d1eaec7fbb46d86c63c1a5d0b,go,ok,4,go,,false,,,,,,,,,,,,137425
540234717,540234719,244,e18316aa7f1bb6bc2a760e73187afa3e76b9a840,go,ok,1,go,gotest,true,false,0,0,,0,2,2,0,,7.6,,181847
663741145,663741147,294,567478c23d513d83112f0cf8e73ef7139b0b934b,go,ok,1,go,gotest,true,false,0,0,,0,8,8,0,,7.1899999999999995,,184259
664891621,664891622,352,13fb952cd7d555126e9b51d26d0347f287643727,go,ok,1,go,gotest,true,false,0,0,,0,10,10,0,,12.98,,185060
665278475,665278477,405,b76d4469b29a1a81e8f0a18c782d8134b47e83ed,go,ok,1,go,gotest,true,false,0,0,,0,10,10,0,,22.209999999999997,,185461
667823765,667823767,464,1996f3f784ae7e18901e96e680d8f168966ee4aa,go,ok,1,go,gotest,true,false,0,0,,0,10,10,0,,20.36,,187089
674469300,674469301,502,39eb59531d3294324864495c73901e9745e67aff,go,ok,1,go,gotest,true,false,0,0,,0,10,10,0,,17.86,,187199
686368447,686368450,567,b5e8051afb5dffb31db27749ff3578a3080ec2f0,go,ok,1,go,gotest,true,false,0,0,,0,5,5,0,,6.959999999999999,,187297
