tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
147897994,147897996,100,8c1548608d74ccba776b12f5454a48a179993677,go,ok,5,go,,false,,,,,,,,,,,,3001
149944103,149944105,136,149709cf5ce5ac9de7d952e18a020d9a84dd3403,go,ok,11,go,,false,,,,,,,,,,,,3611
154632995,154632996,172,bcdbb789fa5281404621e5bfabab4f18ad0bba38,go,ok,13,go,,false,,,,,,,,,,,,4290
158991758,158991760,207,68fe760372ae2c685f24a36a9ea98181f2af32f8,go,ok,11,go,gotest,true,false,25,0,25,0,8,8,0,,0.01,,5265
163480228,163480229,243,ef66a0a79b9a44aa180535d128ae399437f63996,go,ok,14,go,gotest,true,false,31,0,31,0,9,9,0,,0.14,,6371
166624189,166624191,279,7fac94c905698182b12b496e2bbd2bbc81ca6a26,go,ok,12,go,gotest,true,false,32,0,32,0,9,9,0,,0.0,,6986
173165229,173165230,314,190cf612292928fe9b40b43fd9c9f5b1d7cb7b1f,go,ok,14,go,gotest,true,false,32,0,32,0,9,9,0,,0.0,,7325
144349314,144349316,34,9d319d17fee0089976fac5cfea7c7e850b2f26df,go,ok,0,go,gotest,true,false,3,0,3,0,1,1,0,,0.0,,1907
187360937,187360938,386,834d23a3e04f2ad832ead882a9a53ba036f40038,go,ok,13,go,gotest,true,false,32,0,32,0,9,9,0,,0.0,,8504
145998263,145998265,62,65d0c2f5d474d831bb969ccaaa8d6cf793e42b60,go,ok,1,go,gotest,true,false,13,0,13,0,5,5,0,,0.0,,2632
