tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
367543808,367543809,100,6213c2ce68c23487b7bc2df670e67beab1dd6918,go,unknown,1,go,,false,,,,,,,,,,,,2415
538159358,538159360,117,36ea11c221378f8679cbd59b1c00b8b76dfdf7cd,go,ok,2,go,gotest,true,false,4,0,4,0,1,1,0,,0.04,,2321
558455778,558455781,159,361c6c61be81feff607e511cabd7d463965b517d,go,ok,1,go,gotest,true,false,6,0,6,0,1,1,0,,2.6500000000000004,,3129
607221179,607221182,172,120c4b509bc3893acb690720c627b600451faa6b,go,ok,1,go,gotest,true,false,7,0,7,0,1,1,0,,1.45,,3182
607620161,607620165,181,9c631222882236b73f273060dc74c40aa7b4ac02,go,ok,1,go,gotest,true,false,7,0,7,0,1,1,0,,1.61,,3182
27461363,27461365,21,bc751e38f3b3d3329d14914338540556e0ae9115,unknown,ok,,plain,,false,,,,,,,,,,,,2033
29202472,29202474,33,53feffce089aafdfb085f1d5157518fb646d388a,unknown,ok,,plain,,false,,,,,,,,,,,,2167
33555203,33555204,51,4a15c0f5952481772220bcb7f759264116ba9b02,unknown,ok,,plain,,false,,,,,,,,,,,,2226
42613407,42613408,78,832cad0eb663db1705592e686c2939074ab5865c,go,ok,0,go,gotest,true,false,4,0,4,0,1,1,0,,0,,2398
25921950,25921951,8,5c7d2939029e16dfc7b30896bcff1eefec5d5397,unknown,ok,,plain,,false,,,,,,,,,,,,1903
