tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
368910836,368910837,1022,b08f8989af4899034b9816f5291a5bbb1bd576bb,go,ok,7,go,gotest,true,false,98,0,98,0,15,15,0,,14.0,,674923
378235390,378235391,1035,15aea8711db98e640b277da9771a9d74270c2edc,go,ok,5,go,gotest,true,false,98,0,98,0,15,15,0,,38.92,,697315
389478406,389478407,1048,4d8a15a217e46f47fb724569d74702bec99852d3,go,ok,7,go,gotest,true,false,99,0,99,0,15,15,0,,18.440000000000005,,730028
404254757,404254758,1061,28dc565badee2b2dc1169cda0938e2eb1d295ba2,go,ok,9,go,gotest,true,false,99,0,99,0,15,15,0,,12.75,,742116
412442683,412442684,1074,be9bae08949f9a8016af0a0bbc50e170e35223df,go,ok,6,go,gotest,true,false,99,0,99,0,15,15,0,,18.830000000000005,,748125
425049290,425049291,1087,49a9310a91459e9e5d4187bfb5a591434de572f7,go,broken,8,go,gotest,true,true,98,2,100,0,14,13,1,TestContentType#google.golang.org/api/integration-tests/storage,48.4,,787297
431281314,431281315,1098,920bb1beccf73147754c5567fce5b1f32cd3030f,go,ok,7,go,gotest,true,false,99,0,99,0,15,15,0,,44.309999999999995,,801022
436416247,436416252,1106,f5c49d98d21cc639f7ba8c7e4b127e88ee2af7ed,go,ok,8,go,gotest,true,false,102,0,102,0,16,16,0,,42.92999999999999,,809071
442454214,442454217,1115,3f6e8463aa1d824abe11b439d178c02220079da5,go,ok,9,go,gotest,true,false,102,0,102,0,16,16,0,,48.989999999999995,,836406
448096605,448096606,1124,1d582fd0359e47ca7d8183d23e4a4166bfe20bc1,go,ok,8,go,gotest,true,false,99,0,99,0,15,15,0,,16.360000000000003,,831956
