tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
518745230,518745231,2817,8103b0c9374e79848ffed0714e0e81414c363364,go,broken,197,go,gotest,true,true,0,13,,0,16,16,0,github.com/nebulasio/go-nebulas/account#github.com/nebulasio/go-nebulas/common/mvccdb#github.com/nebulasio/go-nebulas/common/trie#github.com/nebulasio/go-nebulas/core#github.com/nebulasio/go-nebulas/core/state#github.com/nebulasio/go-nebulas/neblet#github.com/nebulasio/go-nebulas/nf/nbre#github.com/nebulasio/go-nebulas/nf/nvm#github.com/nebulasio/go-nebulas/rpc#github.com/nebulasio/go-nebulas/storage#github.com/nebulasio/go-nebulas/sync#github.com/nebulasio/go-nebulas/nip/dip#github.com/nebulasio/go-nebulas/account,37.63999999999999,,41573
519167914,519167915,2824,7b7c182916dc2050da57e4d848733a37aef00cf6,go,broken,146,go,gotest,true,true,0,13,,0,16,16,0,github.com/nebulasio/go-nebulas/account#github.com/nebulasio/go-nebulas/common/mvccdb#github.com/nebulasio/go-nebulas/common/trie#github.com/nebulasio/go-nebulas/core#github.com/nebulasio/go-nebulas/core/state#github.com/nebulasio/go-nebulas/neblet#github.com/nebulasio/go-nebulas/nf/nbre#github.com/nebulasio/go-nebulas/nf/nvm#github.com/nebulasio/go-nebulas/rpc#github.com/nebulasio/go-nebulas/storage#github.com/nebulasio/go-nebulas/sync#github.com/nebulasio/go-nebulas/nip/dip#github.com/nebulasio/go-nebulas/account,38.15,,41578
520171758,520171759,2829,9a6703fb1fa377ad0d0230f0f99d85e5d684144d,go,unknown,485,go,,false,,,,,,,,,,,,41586
521185279,521185280,2834,8098d644aa6e52c4aeb36cc5948c5e26a08f8297,go,ok,44,go,,false,,,,,,,,,,,,41586
528392708,528392709,2847,48658ed3887c02f0eeb5f6094bd5fb7d03b48fa7,go,ok,23,go,,false,,,,,,,,,,,,41587
528416921,528416922,2852,b166f4d673a7c922c3678412cd17f364e76ede14,go,ok,26,go,,false,,,,,,,,,,,,41587
568736438,568736439,2914,1a17182969c92e8e404275c7d9f6fb93ca62a1a9,go,ok,17,go,gotest,true,false,0,0,,0,1,1,0,,0,,41926
579694451,579694452,2919,3c79177edacb4454245eb3d3a3d77aaa2d42e10d,go,ok,18,go,gotest,true,false,0,0,,0,1,1,0,,0,,41926
597494693,597494694,2933,1f43b7c68b98b9a112a0135239e25195956ca9ac,go,ok,20,go,gotest,true,false,0,0,,0,4,4,0,,0,,43737
665907857,665907858,2987,dbd56412b1e137e71956982e7e77b0252291e3ff,go,ok,25,go,gotest,true,false,0,0,,0,4,4,0,,0,,45951
