tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
396191024,396191025,100,aeed39bc3e0de8ac04777ef8b112f91b70a073ca,go,unknown,2,go,,false,,,,,,,,,,,,2394
397186659,397186660,130,cf8ec576f62141f4e692706a00464ea8412734ae,go,ok,225,go,gotest,true,false,20,0,20,10,1,1,0,,10.629999999999999,,2428
398499481,398499482,160,3866da7aad957fe8ce3c8a7ae5a168b945e300db,go,broken,3,go,gotest,true,true,22,2,24,0,0,-1,1,TestIndexHandler#github.com/hunterlong/statup,18.14,,2871
399413753,399413754,190,df6916400a92b724bf951898e2d08a79c41a3621,go,ok,1,go,gotest,true,false,88,0,88,1,1,1,0,,27.44000000000002,,3241
401629907,401629908,230,7079a41c6ad7f49640081fd6345bbc9f1740b369,go,ok,1,go,gotest,true,false,107,0,107,6,1,1,0,,55.219999999999985,,3871
408796202,408796203,273,98938b6d363f0b7b614f7e52ac83d5369041e9c8,go,ok,1,go,gotest,true,false,155,0,155,7,5,5,0,,66.96000000000002,,4969
416195900,416195901,303,90cae2eb056e54bc753ac96866ec1cf280bc3554,go,ok,1,go,gotest,true,false,200,0,200,10,6,6,0,,76.35000000000015,,5553
417305379,417305380,333,3510569ba172f793aa51e8fe29df2245f1bfed04,go,unknown,1,go,gotest,true,false,236,0,236,12,6,6,0,,79.39000000000001,,5908
393788736,393788737,40,9c2cc65c7c813458a53420e548bf8600883ea965,go,ok,225,go,gotest,true,false,28,0,28,1,1,1,0,,31.360000000000003,,1747
395908965,395908966,70,99e9efd824b78127436045bf395fba38e78d08d8,go,ok,2,go,gotest,true,false,20,0,20,10,1,1,0,,10.46,,2246
