tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
161707786,161707787,10,964d1e0fa29a12ccc53470374d143f77abee7b9d,go,ok,0,go,gotest,true,false,94,0,94,0,1,1,0,,89.48000000000002,,1159
162016101,162016102,13,c1070d30db8ced63a049084a352d09fd216502a3,go,ok,0,go,gotest,true,false,103,0,103,0,1,1,0,,71.19,,1174
164769868,164769870,16,74d447c82ee31ad42a220e1cee1ff54d7546f33f,go,ok,0,go,gotest,true,false,103,0,103,0,1,1,0,,75.32999999999998,,1170
167776852,167776853,19,4111c9b887ba293d15d2d7864f5c04d33f6cf550,go,ok,0,go,gotest,true,false,103,0,103,0,1,1,0,,79.17,,1291
195976133,195976134,21,ef62f07dab34ccf982c8d8737d4f799d0ff96236,go,ok,0,go,gotest,true,false,136,0,136,0,1,1,0,,107.44,,1314
376140915,376140918,24,a7509cd2c0eac255748e96cbf11b0343d6323016,go,unknown,0,go,,false,,,,,,,,,,,,1317
424892290,424892291,28,4ff96cf253ef40e19ebf3c45bd1e1481cec6b137,go,unknown,1,go,,false,,,,,,,,,,,,1317
627000280,627000281,30,6650ec068002ac4131ae2e7ea915c4f8da5fca77,go,unknown,0,go,,false,,,,,,,,,,,,1317
627003229,627003230,33,cbbdc72d955409e2378d2a73e038c61c8d31945e,go,ok,1,go,,false,,,,,,,,,,,,1317
730824351,730824352,36,00450be311f9c9211f11c71690bab29944b8a11c,go,ok,1,go,,false,,,,,,,,,,,,1317
