tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
428696892,428696893,100,b9786414de4d903830df7ac38eea68a0e3267a35,go,ok,0,go,gotest,true,false,53,0,53,0,1,1,0,,0.01,,1626
493982437,493982438,107,449f3985007486f7f42ca7f62b4c8b45d6d89cbf,go,ok,1,go,gotest,true,false,53,0,53,0,1,1,0,,0.01,,1624
641090540,641090545,118,c524c18295afa687769d69e929289578310c41b8,go,ok,1,go,gotest,true,false,53,0,53,0,1,1,0,,0.01,,1643
59978056,59978057,1,83f2ba57c12cec399ef137457b1957e41ef0bbe8,go,ok,0,go,gotest,true,false,32,0,32,0,1,1,0,,0,,916
79062309,79062313,28,26b4e3aac686940fe29521545afad9966ddfc80c,go,ok,0,go,gotest,true,false,40,0,40,0,1,1,0,,0.0,,1171
91592204,91592223,47,54bd818bb56dbf2d45d81fe4a52fd28b08935293,go,ok,1,go,gotest,true,false,43,0,43,0,1,1,0,,0.01,,1313
149306415,149306417,64,7bc415efc1b94ad17b0fc642cb50b3e2465027e7,go,ok,0,go,gotest,true,false,46,0,46,0,1,1,0,,0.01,,1412
164707201,164707204,74,526faf80cd4b305bb8134abea8d20d5ced74faa6,go,ok,0,go,gotest,true,false,46,0,46,0,1,1,0,,0.01,,1431
239633867,239633868,83,1442182abc1e7397c8c0c862829bd00e9b670a96,go,ok,1,go,gotest,true,false,56,0,56,0,1,1,0,,0.01,,1626
296352402,296352403,94,65450fb6b2d3595beca39f969c411db8f8d5c806,go,ok,1,go,gotest,true,false,56,0,56,0,1,1,0,,0.27,,1626
