tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
53356364,53356365,100,855e6f2e711c8c2ee4ff93cf52b674e9521b61dc,java,ok,1,java-ant,,false,,,,,,,,,,,271,31404
57669130,57669131,140,c2009a1d23301351c140e274141b6e2510475093,java,ok,0,java-ant,,false,,,,,,,,,,,263,32255
67065125,67065126,173,d2931c1dccf0bf93ad68257df1dab9644fb30b43,java,ok,0,java-ant,,false,,,,,,,,,,,186,39648
73435236,73435237,205,c2c3b6fc41742be09458a44be27bac0b1a955467,java,ok,0,java-ant,,false,,,,,,,,,,,174,38138
82188404,82188405,241,ff21fcf7b441bd4811a48dca8a69876a0c3420fb,java,ok,5,java-ant,,false,,,,,,,,,,,193,40515
92350758,92350759,275,7629dbb3577dcc6b1c36474e79cf2e24e609e98a,java,ok,1,java-ant,,false,,,,,,,,,,,185,42303
111813803,111813804,309,86c33ce5f7f8aff2bfcc288be1d4f27b79817605,java,ok,1,java-ant,,false,,,,,,,,,,,281,44178
131211194,131211196,344,b37d55640c5bfa38b2482dfd6d0a07004ccb1d44,java,ok,1,java-ant,,false,,,,,,,,,,,187,48512
166709947,166709948,379,d4d0c1b2ca3dad2034cd7ad1cf1f45ea8e57e71a,java,ok,1,java-ant,,false,,,,,,,,,,,178,51864
38185500,38185501,49,542287207725de87e89b49d4a1ad3b0d63f7f834,java,broken,0,java-ant,,false,,,,,,,,,,,234,55532
