tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
602780759,602780760,100,a4e5cd1863e13a31dfdd791f810433dd26759f39,java,broken,1,java-maven,junit,true,true,344,20,364,6,,,,testChangeProtectionKeyWithVersionKeyWithoutDataSignature(org.hive2hive.core.tomp2p.SecurityTest)#testChangeDataSignatureWithReusedHashWithoutContentProtection(org.hive2hive.core.tomp2p.SecurityTest)#testPutSignedAndContentProtectedData(org.hive2hive.core.tomp2p.SecurityTest)#testChangeDataSignatureAndChangeContentProtectionSimultanously(org.hive2hive.core.tomp2p.SecurityTest)#testRemoveWithFromToSeveralVersionWithContentProtection(org.hive2hive.core.tomp2p.SecurityTest)#testChangeDataSignatureWithReusedHashAndChangeContentProtectionSimultanously(org.hive2hive.core.tomp2p.SecurityTest)#testRemoveWithFromToContentProtectedEntry(org.hive2hive.core.tomp2p.SecurityTest)#testContentProtectionAppliesToAllVersionKeys(org.hive2hive.core.tomp2p.SecurityTest)#testPutOverwriteWithoutContentProtectionKeys(org.hive2hive.core.tomp2p.SecurityTest)#testPutOverwriteWithWrongContentProtectionKeys(org.hive2hive.core.tomp2p.SecurityTest)#testRemoveVersionWithWrongContentProtectionKeys(org.hive2hive.core.tomp2p.SecurityTest)#testChangeProtectionKeyWithoutDataSignature(org.hive2hive.core.tomp2p.SecurityTest)#testVersionFork(org.hive2hive.core.tomp2p.VersionForkTest)#testMaxVersionLimit(org.hive2hive.core.tomp2p.TTLTest)#testTTLDecrement(org.hive2hive.core.tomp2p.TTLTest)#org.hive2hive.core.integration.H2HNodeTest#isRegisteredTest(org.hive2hive.core.api.UserManagerTest)##isLoggedInTest(org.hive2hive.core.api.UserManagerTest)#getClientListTest(org.hive2hive.core.api.UserManagerTest)#,2068.1699999999996,,27804
603553928,603553929,104,b2fe8991ef4e266017ae16eb470b50a27f477cad,java,unknown,1,java-maven,,false,,,,,,,,,,0,,27804
23511699,23511700,12,54b258e23ee69c17558d9c9d8aab9ca0cc7e49f8,java,unknown,,java-maven,junit,true,false,0,0,0,0,,,,,1865.400000000001,,27493
23512031,23512033,16,87735c1472be72a426ba1d36378253d728c4ba40,java,unknown,,java-maven,junit,true,false,0,0,0,0,,,,,2791.7800000000007,,27493
23521529,23521530,20,6a676aecaffd2100cba669f83a62a658b592b2a8,java,unknown,,java-maven,junit,true,false,0,0,0,0,,,,,2347.81,,27492
23594040,23594041,25,55d7ed697825964f453b6e1c02300f334c74ed52,java,unknown,,java-maven,junit,true,false,0,0,0,0,,,,,2518.09,,27525
23731790,23731791,34,1fccd5eb7c58bfe2089844ff04a4ccd4df146c0a,java,unknown,,java-maven,junit,true,false,0,0,0,0,,,,,1951.78,,28157
23868480,23868482,38,04e5452fb9086451c425b29e4d532ce6be638d37,java,unknown,,java-maven,junit,true,false,0,0,0,0,,,,,2700.689999999999,,28157
24008354,24008355,42,9ac48c6b1eb84e461e6093870ac061167e0fb081,java,unknown,,java-maven,junit,true,false,0,0,0,0,,,,,2828.7,,28159
28058488,28058489,50,65b807cda4224cfd69c6617279ce7fddc401cf32,java,unknown,,java-maven,junit,true,false,0,0,0,0,,,,,2201.09,,28144
28147804,28147805,54,8e83ed177a8d042a4b455067f36fde9046c4daa5,java,unknown,,java-maven,junit,true,false,0,0,0,0,,,,,2818.709999999999,,28172
29002156,29002157,58,8971df9a72e27a8986417a1c610537dead47e4ee,java,unknown,,java-maven,junit,true,false,0,0,0,0,,,,,2636.38,,28245
51619895,51619896,67,08c99b18ef428d53671fd6f017b1adf781935a10,java,unknown,1,java-maven,junit,true,false,0,0,0,0,,,,,2671.4399999999996,,26865
51654663,51654664,70,2ea3cffeaf303471d313f7210a96c650340a2230,java,broken,0,java-maven,junit,true,true,361,1,362,5,,,,testPutMajorityFailed(org.hive2hive.core.network.data.futures.FuturePutTest)#,2892.379999999999,2900,26911
51823201,51823202,74,ff7b1e1e9194c24b7b9cf1331a0ca12bfadd312d,java,ok,0,java-maven,junit,true,false,364,0,364,5,,,,,2764.6899999999987,2771,26910
53008294,53008295,78,6f81757fa271ed89868c6657bc4097d33005a2c3,java,ok,0,java-maven,junit,true,false,365,0,365,5,,,,,2685.12,2691,27074
53761101,53761102,81,84c5c1cb060fe2170a23e9086d81cdf9ab28957e,java,ok,0,java-maven,junit,true,false,366,0,366,5,,,,,2736.2699999999995,2742,27396
