tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
628750114,628750115,100,d0160b8b6d1fd5561cc7475ef196acc459224d9b,java,ok,3,java-gradle,,false,,,0,,,,,,,,,15265
638775908,638775911,125,c8248e91ca7be418f90cf1b0d1835038ab5c5fbe,java,ok,4,java-gradle,,false,,,0,,,,,,,,,16158
652540647,652540648,174,fee00b2acbbb738189706ed16a6b26a18e220dc4,java,ok,3,java-gradle,,false,,,0,,,,,,,,,18192
663267856,663267860,193,e51ffe2a1c790219402e2b32a3b82c1102b5742a,java,ok,2,java-gradle,,false,,,0,,,,,,,,,18591
676321271,676321276,214,2e1acb78711dff310f2df8a4810980bf3d459a38,java,ok,3,java-gradle,,false,,,0,,,,,,,,,19346
680988683,680988687,240,875637bc6d3ff00a00e35dce12d8ac302465aba2,java,ok,2,java-gradle,,false,,,0,,,,,,,,,22028
684246115,684246116,260,a961001a4bd308d6616ab74be792a65f5f593cf8,java,ok,2,java-gradle,,false,,,0,,,,,,,,,23302
686915838,686915843,280,a341179426a10b54a50b00df7801a1b69ba008cb,java,ok,3,java-gradle,,false,,,0,,,,,,,,,23808
596013098,596013099,29,d55abd1b007e9674ba592abf0e704cf304642704,java,ok,2,java-gradle,,false,,,0,,,,,,,,,9342
597293453,597293455,32,2cfcd0facf2755e6c8dd43fd405ddd0c40a32c73,java,ok,2,java-gradle,,false,,,0,,,,,,,,,9583
705385695,705385698,353,468c66e8427130f6fd20da6cacd9a02d48b8d5f2,java,ok,2,java-gradle,,false,,,0,,,,,,,,,27975
713698945,713698946,375,02132c5fcda1bc973da987267d9f9ef8e2f8e688,java,ok,3,java-gradle,,false,,,0,,,,,,,,,29226
720798805,720798809,399,535c3ddf6c425548c6eb73678358d0e73473ecfc,java,ok,2,java-gradle,,false,,,0,,,,,,,,,29400
727423952,727423954,417,867c4fff58d3003cec1b11979da386d7d04246c4,java,ok,3,java-gradle,,false,,,0,,,,,,,,,31028
735864457,735864458,438,ae445c934332c00a40e636596978aa9eace25591,java,ok,3,java-gradle,,false,,,0,,,,,,,,,31988
742675191,742675192,487,5b8f92227357cd6010a457c2c887b55132e75e27,java,ok,3,java-gradle,,false,,,0,,,,,,,,,34813
744629365,744629367,507,d923c8df8170901880ebf9d91739b25bb389606a,java,ok,3,java-gradle,,false,,,0,,,,,,,,,35696
611825849,611825853,72,3ba8133890d0f68b7746dc21722ac13ad8560605,java,ok,3,java-gradle,,false,,,0,,,,,,,,,13118
