tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
209221946,209221947,100,c7fc278a162600260515e001bff4a5eb76711853,android,ok,1,plain,,false,,,,,,,,,,,,1808
328008952,328008954,105,3e1dc7052391f2c8e8e9cb31e393d02ec37cc7da,android,ok,1,plain,,false,,,,,,,,,,,,1829
439046608,439046609,110,a5a0766176118cdb2cd7936304907f36478399fc,android,ok,1,plain,,false,,,,,,,,,,,,1828
117747657,117747659,29,5ff2fbcda80b75a5aec8969091d68833322799c8,android,ok,9,plain,,false,,,,,,,,,,,,567
118899217,118899218,38,9c19f570676edb8eda2e4736da2976108616e9e5,android,ok,1,plain,,false,,,,,,,,,,,,776
119318758,119318759,42,b13eb834b1eeadc80e34f9b5d9f2cbf15ad593f5,android,ok,6,plain,,false,,,,,,,,,,,,822
119451858,119451859,47,e7dabbf85d3229f889fe494ed6d30518650b76b2,android,ok,1,plain,,false,,,,,,,,,,,,797
119583095,119583096,51,3228e6216701ced571486d8809946e643cd4618b,android,ok,3,plain,,false,,,,,,,,,,,,1131
121093939,121093940,57,2b530bbaffac8eefe3facb0f1c5163e2f46f9939,android,ok,1,plain,,false,,,,,,,,,,,,1265
122775640,122775641,61,1a1f40674734de13dc4c154dca9cb30a43b23289,android,ok,1,plain,,false,,,,,,,,,,,,1300
124537727,124537728,66,3f99df5f223d68ca4fdc3e228f74d05ad0db6a90,android,ok,2,plain,,false,,,,,,,,,,,,1301
125408937,125408938,71,e128d327409f20a208d00543748c23581fb0f52b,android,ok,1,plain,,false,,,,,,,,,,,,1594
125620071,125620072,76,9ddf348c27f0e6a96337b5a623db64e2c927f160,android,ok,1,plain,,false,,,,,,,,,,,,1645
147934395,147934396,86,e0dcc95fe24ecf581f343c7f2c8b02f213d01ad5,android,ok,1,plain,,false,,,,,,,,,,,,1671
150846419,150846420,91,85fa84b8403be8c4f0cb03e8186861639631fff6,android,ok,2,plain,,false,,,,,,,,,,,,1803
