tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
229979751,229979752,11,e54cccd29b70eed68a3ec21401ec9910b294028d,java,ok,0,java-maven,junit,true,false,7,0,7,0,,,,,5.72,,203
229979751,229979753,11,e54cccd29b70eed68a3ec21401ec9910b294028d,java,ok,0,java-maven,junit,true,false,7,0,7,0,,,,,13.78,,203
754294684,754294685,14,643f6bdb6eb597d3a48657797548cf4fb772e62f,java,unknown,,java-ant,,false,,,,,,,,,,,,203
754294684,754294686,14,643f6bdb6eb597d3a48657797548cf4fb772e62f,java,unknown,,java-ant,,false,,,,,,,,,,,,203
166163085,166163086,3,d2159dc61329854ef8c246ba58f938dc981c4f37,java,ok,0,java-maven,junit,true,false,7,0,7,0,,,,,5.47,,203
166163085,166163087,3,d2159dc61329854ef8c246ba58f938dc981c4f37,java,ok,0,java-maven,junit,true,false,7,0,7,0,,,,,22.64,,203
166163162,166163163,4,c609d04c6e9011c05af377c48b96c8088beb497f,java,ok,0,java-maven,junit,true,false,7,0,7,0,,,,,5.2,,203
166163162,166163164,4,c609d04c6e9011c05af377c48b96c8088beb497f,java,ok,0,java-maven,junit,true,false,7,0,7,0,,,,,11.13,,203
166163323,166163324,5,0a9757aeef68c647e9cc964b735281dab67066f3,java,ok,0,java-maven,junit,true,false,7,0,7,0,,,,,6.55,,203
166163323,166163325,5,0a9757aeef68c647e9cc964b735281dab67066f3,java,ok,0,java-maven,junit,true,false,7,0,7,0,,,,,10.34,,203
166163326,166163327,6,0a9757aeef68c647e9cc964b735281dab67066f3,java,ok,0,java-maven,junit,true,false,7,0,7,0,,,,,7.08,,203
166163326,166163328,6,0a9757aeef68c647e9cc964b735281dab67066f3,java,ok,0,java-maven,junit,true,false,7,0,7,0,,,,,9.28,,203
