tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
128512287,128512290,100,7b44c24824e57e788bf347cc65d0fc8f629960c1,android,ok,11,plain,,false,,,,,,,,,,,,2474
136244362,136244364,107,70fdb05c14b09bcfd609cf3238a3c26afb9692f9,android,ok,7,plain,,false,,,,,,,,,,,,2474
171858485,171858486,120,d4ff11d38eaea99cafa2d8738ecbdf564e1fd984,android,broken,6,plain,,false,,,,,,,,,,,,2574
171917695,171917696,127,67dbf6f04575f30eec7018b60167e06200b617aa,android,ok,10,plain,,false,,,,,,,,,,,,2580
200664194,200664196,133,dadb707037a64a661b96f6719e1873476d8ca25c,android,ok,9,plain,,false,,,,,,,,,,,,2618
238697565,238697566,141,35725d0515879b48fcbb69211f9c0b60652c9cd1,android,broken,14,plain,,false,,,,,,,,,,,,2748
306503037,306503038,148,b76af7db49c1e9d84f7a1ae224ef05c28177435a,android,broken,8,plain,,false,,,,,,,,,,,,2748
76145000,76145001,17,98f378777da0a9db521fa490f82a14eebaf9538d,android,broken,3,plain,,false,,,,,,,,,,,,1922
76761325,76761326,23,a420f3ce69ad2e0e98f4ae75e3fb5fc7d5b6d16f,android,ok,3,plain,,false,,,,,,,,,,,,1922
79601122,79601123,30,2e7fba8ded50080449e16b16deb0add30700e77d,android,ok,3,plain,,false,,,,,,,,,,,,2094
88619658,88619659,37,e38e303b52437ad0fa475d8b426a1f24750597d0,android,unknown,4,plain,,false,,,,,,,,,,,,2094
88626590,88626591,41,b5912fd155b66c868bce98a73b97ce4a91365193,android,broken,3,plain,,false,,,,,,,,,,,,2094
88631850,88631851,47,7b71fdf06d2199f10493f5e1553cdde8c0bdba81,android,unknown,4,plain,,false,,,,,,,,,,,,2094
92792564,92792566,54,1494149a52a5ec1b738fcfb5654345439b6e18d9,android,broken,3,plain,,false,,,,,,,,,,,,2094
96466306,96466307,70,bfa4bce5c8d0b9b51ce0642006e8e5905cbafbce,android,ok,3,plain,,false,,,,,,,,,,,,2316
99141161,99141163,77,1fcd47ce9accfb15a614f87e49f9436f1ddfbc43,android,unknown,8,plain,,false,,,,,,,,,,,,2419
108999551,108999553,83,a5e8d024c0ed4c63d7ce8267b50892463026529b,android,broken,8,plain,,false,,,,,,,,,,,,2424
75955176,75955179,8,bfed6ff32d50562bc45a0879e6819a65a280e867,android,broken,3,plain,,false,,,,,,,,,,,,1922
