tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
65706212,65706213,10,b6aca42b31582f71e4c4f5b18a115d575c6fe3b2,android,broken,0,plain,,false,,,,,,,,,,,,873
65753417,65753418,11,6970113041a4e91d2cb8c3b9078f95453dee74c6,android,ok,0,plain,,false,,,,,,,,,,,,873
65753421,65753422,12,6970113041a4e91d2cb8c3b9078f95453dee74c6,android,ok,0,plain,,false,,,,,,,,,,,,873
65777831,65777832,13,0a9d7c34c9b2d522a781b3fd19d1f1ba51429d6e,android,ok,0,plain,,false,,,,,,,,,,,,873
65777833,65777835,14,0a9d7c34c9b2d522a781b3fd19d1f1ba51429d6e,android,ok,1,plain,,false,,,,,,,,,,,,873
65778166,65778167,19,ba5a655f69b1fe14d40152c30ca015fc80b873d0,android,ok,0,plain,,false,,,,,,,,,,,,873
65700632,65700634,1,6e6a4f2b4d189f80d308a7e1c2e5bf82ba6a485d,ruby,broken,1,ruby,,false,,,0,,,,,,,,,873
65778218,65778219,20,ba5a655f69b1fe14d40152c30ca015fc80b873d0,android,ok,1,plain,,false,,,,,,,,,,,,873
65778597,65778600,21,6a6657fee2a1e2eac15619729c3e2148068002ed,android,ok,0,plain,,false,,,,,,,,,,,,873
65778618,65778619,22,6a6657fee2a1e2eac15619729c3e2148068002ed,android,ok,0,plain,,false,,,,,,,,,,,,873
65779572,65779573,24,f0151b5e2e08902631b09ecffb36191ceb7241c0,android,ok,0,plain,,false,,,,,,,,,,,,873
65779574,65779575,25,f0151b5e2e08902631b09ecffb36191ceb7241c0,android,ok,0,plain,,false,,,,,,,,,,,,873
66650091,66650092,28,1ea9b6053681123825347f791e8b737194412bfa,android,ok,0,plain,,false,,,,,,,,,,,,968
66650104,66650105,29,1ea9b6053681123825347f791e8b737194412bfa,android,ok,0,plain,,false,,,,,,,,,,,,968
65700785,65700786,2,10cb5f37b19a2b0527c231b211c1671f4e2099e1,android,ok,0,plain,,false,,,,,,,,,,,,873
67899470,67899471,31,31f1cf9de81a46d2d645b36d20e6b7af83fd8548,android,ok,0,plain,,false,,,,,,,,,,,,968
