tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
7554840,7554841,100,a0c6d85878ec2938df55d41016d5ff4bf8b0c5ec,java,ok,,java-ant,,false,,,,,,,,,,,,38292
8107312,8107313,135,9f46439f052d8dc480f83c327a1adb31c5a32e60,java,ok,,java-ant,,false,,,,,,,,,,,,38681
8691007,8691008,152,c76856abdc1d085ee6b21a370b317e369ec46d9b,java,ok,,java-ant,,false,,,,,,,,,,,,39666
11317559,11317560,223,c9db18da37c59b826e1a60d640dd63cd74d8bfe8,java,ok,,java-gradle,,false,,,0,,,,,,,,,50993
11724624,11724625,241,6b9a297a1d06add2da64671b96ae097f08c50a87,java,ok,,java-gradle,,false,,,0,,,,,,,,,51083
6843061,6843062,27,b45daf784a53cceb0c020e0e7ae9d0e312b374ac,java,ok,,java-maven,,false,,,,,,,,,,0,0,39947
15696347,15696348,376,f97744244208bdb0f9c0bbeef944fb2850edb362,java,ok,,java-gradle,,false,,,0,,,,,,,,,53030
20200761,20200762,427,07da27972ed4ca349da5249fc4bf21a6dafd42c1,java,unknown,,java-ant,,false,,,,,,,,,,,,53216
7015042,7015043,60,9f267b6eb6bd0a165d2f44d94cbfad2e36a918eb,java,ok,,java-ant,,false,,,,,,,,,,,,38581
7217910,7217911,78,e796388f70e06915b3b19f1cd46505d654f3b66b,java,ok,,java-ant,,false,,,,,,,,,,,,39339
