tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
261502295,261502296,10,91d4bddff79a9b62f9a03fa95021646212d8dfbc,java,ok,1,java-ant,,false,,,,,,,,,,,12.77,140175
261506516,261506517,12,9693d28733a85c98d58b8c2bdf6911d5fb9999b4,java,ok,1,java-ant,,false,,,,,,,,,,,13.54,140175
261745231,261745232,14,6076388c4317facc60547b4fdfaa49dc9c43b6d9,java,ok,1,java-ant,,false,,,,,,,,,,,4.82,140175
262085441,262085442,16,386124ba92da1bddebc59f1cfd90703e743d0d2a,java,ok,1,java-ant,,false,,,,,,,,,,,11.55,139706
262085830,262085831,18,b31e346771c51038a244f51059c1f046712259c3,java,ok,1,java-ant,,false,,,,,,,,,,,13.11,139706
259603085,259603086,1,afe58eb9df87f6ebc3eb97d102957972918fa564,ruby,broken,1,ruby,,false,,,0,,,,,,,,,140175
263120045,263120049,21,429491ea56c8400cf25a48eb1f4cad977e9b8782,java,ok,2,java-ant,,false,,,,,,,,,,,5.65,139706
279769007,279769008,23,348c1c6aeab7f1bf799b4ad438b1cf1e72e7677c,java,ok,1,java-gradle,,false,,,0,,,,,,,,,139706
288371758,288371759,25,0cddce2262340636b896faf851493f999593d3f5,java,ok,1,java-gradle,,false,,,0,,,,,,,,,139706
301160276,301160277,27,1cf887ec2b3f59f79b584aaea8bf7eab9908d88e,java,ok,2,java-gradle,,false,,,0,,,,,,,,,139706
307801032,307801033,29,d5bcfa392808cc4e0ded5422d5e2c914d1b849fe,java,ok,1,java-gradle,,false,,,0,,,,,,,,,160086
309816690,309816691,30,07e6461e9e92db5113a4d94ca1c11574d18736d2,java,ok,1,java-gradle,,false,,,0,,,,,,,,,160086
312774229,312774230,32,a23bf33dde153e30221294966ee9539c8dd0bab7,java,ok,1,java-gradle,,false,,,0,,,,,,,,,160086
330146712,330146713,34,708a7ec2f195a769a66472834c726c2c4e90f48c,java,ok,1,java-gradle,,false,,,0,,,,,,,,,160086
336463931,336463932,36,7380bdf4acca9f81906fcf231ca69acb9f0b15c6,java,ok,2,java-gradle,,false,,,0,,,,,,,,,160086
337113668,337113669,38,620d4b45f4b42b482191f94a8c2dd6021a8b8d3c,java,ok,2,java-gradle,,false,,,0,,,,,,,,,160086
259603782,259603783,3,1e623326c56fccc71ed74d6ccb8c95b526ea840d,java,ok,1,java-ant,,false,,,,,,,,,,,13.5,140175
345526869,345526870,41,b69d1655f8a086232c145c65e8061c486a464ba5,java,ok,1,java-gradle,,false,,,0,,,,,,,,,160086
349613900,349613901,43,f061ad27ec9a871c18352cc5f506b75a50168cda,java,ok,2,java-gradle,,false,,,0,,,,,,,,,160086
353749614,353749615,45,7c2ccd891ddcd46a88721b1f7d4e56a8d27389a2,java,ok,6,java-gradle,,false,,,0,,,,,,,,,160086
