tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
14996939,14996940,100,897b315ac66ab9c012b5165325028ed209895499,ruby,broken,,ruby,,false,,,0,,,,,,,,,67112
15011806,15011807,107,8760c9fe79146721a986465971fd2ba2b3619a71,ruby,broken,,ruby,,false,,,0,,,,,,,,,67199
15022172,15022173,113,62e42981de8e32731f2a93ae49a7c22d9fef3cbd,ruby,broken,,ruby,,false,,,0,,,,,,,,,67208
14826637,14826638,11,40eb5eb15c547f8cef073585097ebeeeca8e548a,ruby,broken,,ruby,,false,,,0,,,,,,,,,66713
15056702,15056703,126,d016532ca5eadbd1c821efb354d5794f15456daa,ruby,broken,,ruby,,false,,,0,,,,,,,,,67490
15060058,15060059,132,a259faf0a6f292b801866bd1037e09ddacdde898,ruby,broken,,ruby,,false,,,0,,,,,,,,,67339
15066272,15066273,139,fce5eb4f3838d765e7177f16f4b9caa331ab88e1,ruby,broken,,ruby,,false,,,0,,,,,,,,,67339
15073862,15073863,147,b8e60d5dd73f1f3af6933c57aea9582c2f7501d3,ruby,broken,,ruby,,false,,,0,,,,,,,,,67381
15078582,15078583,153,2e6a4faa3be2b907f203bbdfc3706e9fe1c95e9d,ruby,broken,,ruby,,false,,,0,,,,,,,,,67594
14839058,14839059,20,f765ba5c5fdbaf8adbfde37f4ee8a6e79ac90e3d,ruby,broken,,ruby,,false,,,0,,,,,,,,,66732
14842991,14842992,27,e966cb3c2b78ec638a5d8bebaf812876feb75e4a,ruby,broken,,ruby,,false,,,0,,,,,,,,,66719
14882042,14882043,34,c1a95aa07400e4f04db8dfd4fc63e3a6eb2a6e7c,ruby,broken,,ruby,,false,,,0,,,,,,,,,66742
14891500,14891501,41,c0594c9de297554fc14aa0c99e33f204bb1e0726,ruby,broken,,ruby,,false,,,0,,,,,,,,,66751
14897566,14897567,48,c1bfd8cfef88d2fcca3ec416653da661ac20636e,ruby,broken,,ruby,,false,,,0,,,,,,,,,66757
14901176,14901177,54,b8f1e6c212d2676693d002265e1070247b747d74,ruby,broken,,ruby,,false,,,0,,,,,,,,,66757
14904489,14904490,60,5a1d3e4c6233acdbe68cf360c08310238d297e8d,ruby,broken,,ruby,,false,,,0,,,,,,,,,66757
14937508,14937509,67,d77ba59ba147df18a9c1a7ed276e130905dc619b,ruby,broken,,ruby,,false,,,0,,,,,,,,,66757
14949735,14949736,73,46c462b1aa2489c5bbfbdeaa408cbd7e3e9eea8d,ruby,broken,,ruby,,false,,,0,,,,,,,,,66801
14812401,14812402,7,38ec5dc40a9d0e30cc46181d97785acc2b144b15,ruby,broken,,ruby,,false,,,0,,,,,,,,,66697
14957733,14957734,86,6ea8f48c6cbd0291893c8520801c9b607552155e,ruby,broken,,ruby,,false,,,0,,,,,,,,,66808
