tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
358100438,358100439,101,60bf31f2883c6b72739a2a1434d4b0651ef603ae,android,ok,9,plain,,false,,,,,,,,,,,,21446
241923352,241923353,10,6890f2b6e25c71f1aa8862c90a70f19ee05a7686,android,unknown,3,plain,,false,,,,,,,,,,,,17570
481819799,481819800,116,e8be6039b09d008a8f06eb7a9a9388354ab0bd48,android,ok,8,plain,,false,,,,,,,,,,,,18838
244586461,244586462,15,ec8333284c25dbdea7c08b84f9ce150a56c274bb,android,unknown,3,plain,,false,,,,,,,,,,,,18875
238207732,238207733,1,cb6dc37f68aa40e6f6b3bb17c12903ee6256485e,android,broken,1,plain,,false,,,,,,,,,,,,16912
248379237,248379238,24,5c944ca3e5a41e67d68f358c13576a0094186735,android,unknown,3,plain,,false,,,,,,,,,,,,17824
249968492,249968493,29,5f65fa7a85f8554e37590320a663fca2a83b9458,android,ok,3,plain,,false,,,,,,,,,,,,19518
251428236,251428237,33,83a5d2a29c2e08bf616195329fc24420aeba057b,android,ok,2,plain,,false,,,,,,,,,,,,18971
253296747,253296748,38,1b1da86f9f1c6227bf5d81f4d5bae8b801176b9f,android,ok,1,plain,,false,,,,,,,,,,,,19121
254959375,254959376,42,635ec314c8350f747d97cd903ed8e39bef5dc520,android,ok,2,plain,,false,,,,,,,,,,,,19352
256025165,256025166,47,8a49c5ca69a5bf3d1244aaf21edd20387555caf7,android,ok,2,plain,,false,,,,,,,,,,,,19585
257305746,257305747,51,f0e0e556bf8c0eff1680e0eab57c7ef5a265b20d,android,broken,2,plain,,false,,,,,,,,,,,,19691
258264551,258264554,56,a00aa72e77ef1de95c61f558126e44c1b233bb46,android,ok,2,plain,,false,,,,,,,,,,,,19954
261874890,261874891,60,0ccefec495dcb1dc4ae71759ef103281e6b05d76,android,ok,2,plain,,false,,,,,,,,,,,,19985
263472122,263472123,65,36c05c629f4b4c91de546b52a36543d7f0931c90,android,ok,2,plain,,false,,,,,,,,,,,,20342
238678199,238678200,6,3d206e9acbeb55cd5abc36aa175a08798d005bb6,android,unknown,2,plain,,false,,,,,,,,,,,,16986
293246894,293246896,74,7dbca96b8944f2897f7c0026f4bce71cc5edc3c8,android,broken,3,plain,,false,,,,,,,,,,,,20574
313642223,313642224,79,bcd515780c46276420a61170374dc298c473adc9,android,broken,3,plain,,false,,,,,,,,,,,,20598
330419783,330419784,83,672401e25330d256ace5eb11889e396b3288022e,android,ok,12,plain,,false,,,,,,,,,,,,20692
346372283,346372284,88,6b0ab6706583b8a600f174bac8b4605f03b92e3a,android,ok,7,plain,,false,,,,,,,,,,,,20613
