tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
281577281,281577282,10,d5e594962a3a8277e1d978a2cbe7060a8c423e99,android,broken,1,plain,,false,,,,,,,,,,,,560
281578875,281578876,12,593d1a7e7ddcc77f69612ab7b4972ff9e42c8db8,android,ok,1,plain,,false,,,,,,,,,,,,560
281699648,281699649,14,66ba27f40bde02956c531f3ac81649337cfa3b8c,unknown,unknown,,plain,,false,,,,,,,,,,,,577
281700341,281700342,16,19f54a9b0a9c5dce8e7c166590e91349b64d9a8a,android,ok,1,plain,,false,,,,,,,,,,,,577
296119828,296119829,18,c431d31e068e8d30e2c3108d444905d79f211d8c,android,ok,3,plain,,false,,,,,,,,,,,,577
281516131,281516132,1,7e8b010afd4676bdbbe20c9aeb0e164ec16c4fec,ruby,broken,0,ruby,,false,,,0,,,,,,,,,535
312795409,312795412,21,85820223583c8fbe47ee08ba94f9faf31ebd7065,android,ok,1,plain,,false,,,,,,,,,,,,582
317546318,317546319,25,6ca7bab473116b0d9610bd36e76f21f8b8624282,android,ok,1,plain,,false,,,,,,,,,,,,607
317546946,317546949,27,93f572b9c889c621eca6633a16252066632b0891,android,broken,1,plain,,false,,,,,,,,,,,,607
357930445,357930446,29,9cfeced5044723de9d293a0f468df180bb0da8ab,android,ok,1,plain,,false,,,,,,,,,,,,607
358149520,358149521,32,45adee5411cac14e2b7014be16d107e429b450f7,android,ok,1,plain,,false,,,,,,,,,,,,620
447573169,447573170,36,466d7e8c22d4e9b6141996d8649560c9b7fd328a,unknown,unknown,,plain,,false,,,,,,,,,,,,722
447575773,447575774,38,5ea23ba3d9ce6bf1a1fafbc1c070d33137a62cb2,android,broken,1,plain,,false,,,,,,,,,,,,726
281518287,281518288,3,cc44218b7f6a0fa1b2ca460ff2bbf117bbcdb1c4,android,broken,1,plain,,false,,,,,,,,,,,,535
447593468,447593469,41,23fbbc73a473b32dfbd3d03b4847ea19c43e02a3,android,broken,1,plain,,false,,,,,,,,,,,,687
447599252,447599253,43,106c260dd83e6f11bf5de19f0ee60eb6f4faed35,android,broken,1,plain,,false,,,,,,,,,,,,698
447608004,447608005,45,723ff362fb0ba130c33fc518f02ff6aeeb4884f7,android,broken,1,plain,,false,,,,,,,,,,,,698
