tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
50536432,50536433,100,95ec5c8f183014f5aa12ab99d59be03a73871b72,java,ok,0,java-maven,junit,true,false,230,0,230,0,,,,,3.6799999999999984,,4784
32012126,32012130,11,bca5b6b01533e62aa311fc145b8f9e339270a79f,java,ok,,java-maven,junit,true,false,33,0,33,0,,,,,0.69,,1280
67895280,67895283,161,7f00e586492c3310281626f83164122985418dcb,java,broken,0,java-ant,,false,,,,,,,,,,,52.14,5715
79392848,79392849,181,0921e32e604f2195650fd514a02aa253760273a9,java,ok,0,java-ant,,false,,,,,,,,,,,21.26,6274
113876813,113876820,220,41d7231f29e1260d62b9d11c86c220c72f6a51ff,java,ok,2,java-ant,,false,,,,,,,,,,,14.56,7281
122416762,122416763,240,18697d403ff394dd1225d9964c7f17bc6c32bddb,java,ok,2,java-ant,,false,,,,,,,,,,,12.97,7522
32255236,32255240,25,f53d38e2dbc2beb4c14d850f7265bac8b2d62f56,java,ok,,java-maven,junit,true,false,37,0,37,0,,,,,0.6000000000000001,,1341
32298129,32298132,27,1f0457a2646954ecbec3e13e424a93276597a2bb,java,ok,,java-maven,junit,true,false,37,0,37,0,,,,,0.64,,1365
32456731,32456732,32,f56733e501d4835e87c16d63e79660f45a0c57b6,java,ok,,java-maven,junit,true,false,42,0,42,0,,,,,1.5000000000000002,,1528
32546531,32546535,38,1aa0a9070befdafa515df5fcb879d9267bb48024,java,ok,,java-maven,junit,true,false,64,0,64,0,,,,,4.35,,1736
32668837,32668840,44,1c75fdb604e7d19479e6ec4abc46be13e33ccb52,java,ok,,java-maven,junit,true,false,70,0,70,0,,,,,3.64,,1989
32792884,32792886,50,693b1dc4b7b18385cf92afde5ece2d62c183e859,java,ok,,java-maven,junit,true,false,82,0,82,0,,,,,3.57,,2148
309309837,309309838,570,3d793a0b3f11564879c312d86fc18c9b25db65aa,java,broken,3,java-gradle,,false,,,0,,,,,,,,,9832
33467267,33467271,62,289516279402649c2a54002974a768d06ceb639c,java,ok,,java-maven,junit,true,false,108,0,108,0,,,,,2.8199999999999994,,2488
437932701,437932702,692,e87629a8edf75c433eb974e17d1943b28f528f6d,java,ok,2,java-ant,,false,,,,,,,,,,,0,11477
555624962,555624963,755,127dfbd56264ba834d86b33cac779c395db0da22,java,ok,2,java-ant,,false,,,,,,,,,,,0,11927
34633098,34633100,80,d7a7b534859930a962ebea97e65fdcb5508f882e,java,ok,,java-maven,junit,true,false,119,0,119,0,,,,,2.869999999999999,,2676
745062875,745062876,846,ad2321f18d8caaea5504a79d061cfd7c9dad7bb2,java,ok,2,java-ant,,false,,,,,,,,,,,0,12927
