tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
247931346,247931347,2154,bd5d0177d50741b525675924684186c52a04ec2d,android,ok,2,plain,,false,,,,,,,,,,,,39687
273068141,273068142,2267,6c5dfba6ff937be5132643b247bcbd4ecc44324a,android,ok,1,plain,,false,,,,,,,,,,,,44209
295106460,295106461,2327,3f8f81951ff69f7f6204927a4dd936c93df90e79,android,broken,1,plain,,false,,,,,,,,,,,,44361
299113173,299113174,2376,abcd4fbcf326600815f805e60ced31fd71699444,android,ok,1,plain,,false,,,,,,,,,,,,45452
312445011,312445014,2416,306b3bc165acc3487dbc108d2b720e33a071911e,android,ok,2,plain,,false,,,,,,,,,,,,45726
327424588,327424589,2457,699cd07322c0a62fdc1c3dfe8237ec04ba02bd12,android,ok,4,plain,,false,,,,,,,,,,,,46448
345630033,345630034,2497,5f5938b99ffd01676e407154dd1a53db74682bd4,android,ok,5,plain,,false,,,,,,,,,,,,46852
391836943,391836944,2540,22be2ed7ce46c63a4086d11410a3b6377c5d2602,android,ok,16,plain,,false,,,,,,,,,,,,46447
406904097,406904099,2578,be11604bdad2c3373030723c2c3fa89031d5132b,android,ok,17,plain,,false,,,,,,,,,,,,47162
413585669,413585670,2616,125459da487f7aa332c2bae146b825ecb9c51565,android,ok,15,plain,,false,,,,,,,,,,,,47195
420750108,420750109,2671,c80207ee7830b0f158bc9f1321333a2a30e980a9,android,ok,17,plain,,false,,,,,,,,,,,,47673
429555931,429555932,2716,8f0c0acaa9417736bd91afe690fc729b24166590,android,broken,20,plain,,false,,,,,,,,,,,,48441
456402780,456402781,2777,74f440980eedce5ddb060b597ac6443a70269365,android,ok,14,plain,,false,,,,,,,,,,,,48476
513812433,513812434,2901,457799bbbaf62636209021548f49f59dc93b4e1c,android,ok,6,plain,,false,,,,,,,,,,,,50503
662402269,662402270,3005,c0bc6d4a9035abefa6ac6f03075ad12adcc3bfe6,android,broken,4,plain,,false,,,,,,,,,,,,49997
668356402,668356403,3050,7f9c335727b6c31f72b5adde09e5561ff45b73d9,android,ok,9,plain,,false,,,,,,,,,,,,49270
676647841,676647842,3091,7eff17dab2087beb08a116e5303e3414739d4b2b,android,broken,8,plain,,false,,,,,,,,,,,,49718
