tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
276852654,276852656,100,9a0f5f21768c677f4c578cdd08c846bd069699cb,android,ok,1,plain,,false,,,,,,,,,,,,1161
301904272,301904273,113,929374aed2247435ffe26d14f741240e9a9580f1,android,ok,1,plain,,false,,,,,,,,,,,,1246
322535355,322535356,126,143afe3d9ace08d8000c320c7124d9a392743f6a,android,ok,1,plain,,false,,,,,,,,,,,,1265
370104413,370104414,139,093f28a457b4a4f6831c1bf5faeb8b5e9ebca0f6,android,ok,1,plain,,false,,,,,,,,,,,,1271
373735363,373735364,152,ba17b65f4112890c75c2f1051b5ea049489259f9,android,ok,6,plain,,false,,,,,,,,,,,,1357
433638672,433638673,166,f826cde75850540fe08af60d578797bb91e3955d,android,ok,1,plain,,false,,,,,,,,,,,,1377
476063699,476063700,205,74bf85f879c5e2417d0bb25b9466b4bc8a259c05,android,ok,1,plain,,false,,,,,,,,,,,,10
186419834,186419835,30,e59c90676d6fc47273d91ffb5082b194ded14d35,android,ok,0,plain,,false,,,,,,,,,,,,1360
225297254,225297255,43,d8445e3721c5ada7ecf236353ccece28625130bb,android,unknown,1,plain,,false,,,,,,,,,,,,1267
231355774,231355775,69,7f2a47fdf4b847a57360dae3bb5731f8d90da457,android,unknown,0,plain,,false,,,,,,,,,,,,1350
236443010,236443011,81,469708e73803411b2ae0a22ebdc4c547eec56e62,android,unknown,0,plain,,false,,,,,,,,,,,,1357
