tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
261459764,261459765,10,e5469726859088220c0be1a6f8d6f358c36a0527,java,ok,1,java-maven,junit,true,false,17,0,17,0,,,,,2.3,,1867
276336002,276336004,13,8421b301384d88e2c074c796f16e192781a0dd0a,java,ok,0,java-maven,junit,true,false,17,0,17,0,,,,,1.1,,1926
279059746,279059748,17,0a5e9e223188c3a06efe856d87050d8338a065ed,java,ok,0,java-gradle,,false,,,0,,,,,,,,,1926
256229866,256229868,1,7a75179f72a22ec4dee0e5520817c9fc2b9177a2,java,unknown,0,java-ant,,false,,,,,,,,,,,,1755
279064843,279064845,22,391a15ba824682438175d349a852118419be7132,java,ok,0,java-gradle,,false,,,0,,,,,,,,,1926
279081142,279081144,25,02f8f06bdced762ebc3acbf4396efae14101a898,java,ok,0,java-gradle,,false,,,0,,,,,,,,,1926
279770541,279770542,29,ab18727a38ac71987c0cf2e4a25f7c835bac1de9,java,ok,0,java-gradle,,false,,,0,,,,,,,,,1926
279772611,279772613,30,7bd3f08e6f725e16d165cd8a85704e9bb74548bf,java,ok,0,java-gradle,,false,,,0,,,,,,,,,1926
280109192,280109193,35,21f809c483ca679efe920bf096a31e65913c7f38,java,ok,1,java-gradle,,false,,,0,,,,,,,,,1926
280197354,280197362,38,857f2854467e888ee5e4a6f7aa093342dd9620d2,java,ok,0,java-gradle,,false,,,0,,,,,,,,,1926
280204058,280204059,41,f8917c0a2ea4e72c7bcfe57067b0397d613fae4c,java,ok,0,java-gradle,,false,,,0,,,,,,,,,1926
281566731,281566733,44,b7cc440c70dd741bdb105c0dcbc3dc7f0c3c4f1f,java,ok,0,java-gradle,,false,,,0,,,,,,,,,1940
282042837,282042838,48,0ebd1d8e65a3ec032d691bb2e8ea032965b4e892,java,ok,0,java-gradle,,false,,,0,,,,,,,,,1943
282044072,282044075,50,1bbce0befab29247a823b1f5f38a47f47a267ad2,java,ok,0,java-gradle,,false,,,0,,,,,,,,,1943
348806261,348806262,54,3c737ec86f0c0909214af5086e5e3c2924f708f8,java,ok,0,java-gradle,,false,,,0,,,,,,,,,1943
395630286,395630287,60,b9b57308352c8bacbc2b78e5ff95b463553b400e,java,ok,0,java-gradle,,false,,,0,,,,,,,,,1943
396145728,396145730,63,35f23c12050a9c54d353a973e7c6863fc8f03fb2,java,ok,0,java-gradle,,false,,,0,,,,,,,,,2185
396146000,396146001,67,5d2cfaf1b34d918204dbba311a895e7b66f0ee18,java,ok,1,java-gradle,,false,,,0,,,,,,,,,2185
259618718,259618720,6,2f5d7b89c88a6b18f7b581051c31e80a586614a4,java,ok,0,java-maven,junit,true,false,15,0,15,0,,,,,0.64,,1781
