tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
232656744,232656745,100,1987d6ace4bf882570357c59a04c83f04fb2fbec,java,ok,1,java-ant,,false,,,,,,,,,,,27.54,2220
252787994,252787995,118,adf282f115fb18f9443c626696e2934fe2a956ec,java,ok,2,java-ant,,false,,,,,,,,,,,25.21,2220
275725388,275725389,130,2541e35991f9dc254bf1322ec9a1c30697e54fe4,java,ok,4,java-gradle,,false,,,0,,,,,,,,,2220
302445636,302445637,146,b32366489bd4dc010fa0d8891700cd2e4122137f,java,ok,1,java-gradle,,false,,,0,,,,,,,,,2220
364009566,364009567,194,21a859a48d01f75537a0e120e017225a6b9a3b1c,java,ok,1,java-gradle,,false,,,0,,,,,,,,,2048
393933960,393933961,207,0222529290b8c88e9dfeccbcadfff09a220640f4,java,ok,1,java-gradle,,false,,,0,,,,,,,,,2048
408333966,408333967,219,1422d5b96c6c6797367a93b69e9b37c35c72fcd1,java,ok,1,java-gradle,,false,,,0,,,,,,,,,2067
457455023,457455024,235,949531572bcdbd82f7fede9982a529e8e0d14625,java,ok,1,java-ant,,false,,,,,,,,,,,23.74,2126
511842407,511842408,249,125ac3c5e5e66bdb31a75cd43719925c35193917,java,ok,1,java-ant,,false,,,,,,,,,,,26.41,2131
526791438,526791439,263,06e8a23d1828ae993aef21b81829a7729d06f224,java,unknown,,java-ant,,false,,,,,,,,,,,,2124
566307862,566307866,275,125ac3c5e5e66bdb31a75cd43719925c35193917,java,unknown,,java-ant,,false,,,,,,,,,,,,2131
621618253,621618254,287,125ac3c5e5e66bdb31a75cd43719925c35193917,java,unknown,,java-ant,,false,,,,,,,,,,,,2131
669491604,669491605,299,125ac3c5e5e66bdb31a75cd43719925c35193917,java,unknown,,java-ant,,false,,,,,,,,,,,,2131
750152367,750152368,322,5a1b8c8da629a05bd7c16245da5cbe0d3a0dad1c,java,unknown,,java-ant,,false,,,,,,,,,,,,2124
118812379,118812381,3,d15e4e0629a8205e6d8e7c014efe3a5f33014071,java,ok,1,java-ant,,false,,,,,,,,,,,11.77,3033
154202392,154202395,54,bfcebccd0fdf99c8ebc230cfb433fecea8dd0478,java,unknown,1,java-ant,,false,,,,,,,,,,,,2227
176263589,176263590,70,ffb88ee0fa556598f8f8bc06d6af3f70872ae7bf,unknown,unknown,,plain,,false,,,,,,,,,,,,2220
