tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
299337799,299337800,1058,11c0f30ff94d9280ee294e7cfdeb3769e6cd2cd5,android,ok,7,plain,,false,,,,,,,,,,,,12824
340083230,340083231,1121,8319235948b40d9d8d169cad146dbb95f935fd09,android,ok,12,plain,,false,,,,,,,,,,,,12769
350005051,350005054,1131,98a5da4750c8247e0c475ac1da2b6837105cdd17,android,ok,14,plain,,false,,,,,,,,,,,,12866
356514786,356514787,1142,a131a46dac97af02cf7f841ba68ef3002d40aff6,android,ok,18,plain,,false,,,,,,,,,,,,12879
372746062,372746063,1156,a17fa7de1f2378340f53c73a84d6133bb00d3188,android,ok,16,plain,,false,,,,,,,,,,,,12942
384318279,384318280,1165,80b18430724dc0b3f417df790460d5dc3338cb12,android,ok,11,plain,,false,,,,,,,,,,,,12987
423480224,423480225,1188,05673e5f75f65af9bc5030fc47f08c03c043610e,android,ok,10,plain,,false,,,,,,,,,,,,13049
467385305,467385307,1242,c7b631d066b7929e295b7f36975789f7d04d6581,android,ok,11,plain,,false,,,,,,,,,,,,12838
519966556,519966557,1307,ca25caba64a4510d9883d464e009e014f60ae765,android,ok,12,plain,,false,,,,,,,,,,,,13104
564419893,564419894,1376,f3462752223f7ac4e734e690ea77027381959bdc,android,ok,4,plain,,false,,,,,,,,,,,,13304
572954113,572954115,1385,d5920ea46a20537e587a9c7c64446d033cc11d4b,android,ok,10,plain,,false,,,,,,,,,,,,13297
