tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
64773681,64773682,10,79c6b4221bdd02fe353039e046b3b7eb03231b92,android,broken,6,plain,,false,,,,,,,,,,,,628
64774822,64774823,11,1aa209b3a7890adfefd01270f1c9b5db24a631df,android,broken,6,plain,,false,,,,,,,,,,,,628
64815647,64815648,13,f3d0b0ecbae063d6f62fad4f19c67e566b4b8004,android,broken,4,plain,,false,,,,,,,,,,,,628
64816568,64816569,14,10200a1c2ded899a6402f93b5f83d3bcd51a8391,android,broken,8,plain,,false,,,,,,,,,,,,628
64819999,64820000,16,678191b137b59d2e560054997e085cbe5ed0df79,android,broken,7,plain,,false,,,,,,,,,,,,628
64820188,64820189,17,df06b196541b9bdba24b6e6c2f60868c851f2830,android,broken,6,plain,,false,,,,,,,,,,,,628
64820401,64820402,18,99d21c4b2681322c7a45b3ce84432afa05617ce8,android,broken,5,plain,,false,,,,,,,,,,,,628
64770398,64770399,1,504291aab49afab705676de319e4522eef3fd6f7,android,broken,0,plain,,false,,,,,,,,,,,,628
64822818,64822819,20,c9d11598f800cce9a60b2f2a13c84f9d2ac833ad,android,broken,4,plain,,false,,,,,,,,,,,,628
64822934,64822935,21,c9d11598f800cce9a60b2f2a13c84f9d2ac833ad,android,broken,6,plain,,false,,,,,,,,,,,,628
64823999,64824000,23,321077e0d6d2841096bd798d74221eddeb9e2ed7,android,broken,6,plain,,false,,,,,,,,,,,,628
64825981,64825983,25,321077e0d6d2841096bd798d74221eddeb9e2ed7,android,broken,5,plain,,false,,,,,,,,,,,,628
64827274,64827275,27,321077e0d6d2841096bd798d74221eddeb9e2ed7,android,broken,8,plain,,false,,,,,,,,,,,,628
64770471,64770472,2,c84c82d3266bf0a8023c9a9a2170b54e035e7c62,android,broken,0,plain,,false,,,,,,,,,,,,628
64832196,64832197,30,13b447249929c8d5a8622a6696e11260fb256a46,android,broken,8,plain,,false,,,,,,,,,,,,628
64840861,64840862,34,0a01dd0de0d6c2bc69d2d826c1be2659867c443f,android,broken,4,plain,,false,,,,,,,,,,,,628
64841776,64841779,35,62e1023fa1ba84689a70016bd8ef2a76d5c60a5d,android,broken,4,plain,,false,,,,,,,,,,,,628
64843226,64843227,37,cfd84a241b39255d0342a81777c3f5695d5e08c1,android,broken,5,plain,,false,,,,,,,,,,,,625
64843257,64843258,38,6d9fc6dc64800b099867030f5cd24e89ce72b1d6,android,broken,4,plain,,false,,,,,,,,,,,,625
