tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
469480285,469480286,100,f8fd14239b1b7217c070acc6da0ac27531a97a7c,java,ok,1,java-gradle,,false,,,0,,,,,,,,,25644
485125901,485125910,128,41b1c3cf79117c9f42ce49198f9ca2a467be9ae2,cpp,ok,1,plain,,false,,,,,,,,,,,,25767
498193822,498193823,186,4481b12f5380b6a9e96e151fd0284e56a9651e4c,java,ok,3,java-gradle,,false,,,0,,,,,,,,,25876
516515857,516515864,268,63f29118a84103256c72349aa7df1a268895cfa8,cpp,ok,1,plain,,false,,,,,,,,,,,,28247
527309960,527309964,296,5732ab5e0f1ed7a42370795427b499945146a968,cpp,ok,1,plain,,false,,,,,,,,,,,,28301
537207073,537207080,326,26dbebce5326e6adeab5dc2a952fed5dfa9a8207,cpp,ok,1,plain,,false,,,,,,,,,,,,28642
552147961,552147974,353,bd19ff6775e3c97150d20f503273cab0999a068c,c\+\+,unknown,1,plain,,false,,,,,,,,,,,,28998
561660094,561660108,375,4d8726d835d9b19a9e3f9694881b8482b71092fa,c\+\+,unknown,1,plain,,false,,,,,,,,,,,,29007
568403541,568403545,398,3fed8115fb1b4af0aaaa17f71075f15974f4d25e,cpp,ok,1,plain,,false,,,,,,,,,,,,28971
576855298,576855299,420,dbf616599266a889f6c14f70af375992042d50ea,java,ok,1,java-gradle,,false,,,0,,,,,,,,,28953
586265837,586265846,442,afcbc40d478a58c541afa754c5b4eeac800746d9,cpp,ok,1,plain,,false,,,,,,,,,,,,28951
596520107,596520111,465,40751e9730add58bd3742dff583df79321f4a30c,cpp,ok,1,plain,,false,,,,,,,,,,,,28967
602642069,602642076,489,76a8c3a1870521013bd69a91490a4083cff8e1d3,cpp,ok,1,plain,,false,,,,,,,,,,,,29058
611435297,611435304,513,a0b4769bca58f8777b19d4842937a4c203dc7112,cpp,ok,1,plain,,false,,,,,,,,,,,,29114
627613129,627613141,537,20c0369b9593e0a0c89394feada3cab19a36c38e,c\+\+,unknown,1,plain,,false,,,,,,,,,,,,29311
632198242,632198249,560,22d9a89f143b8037a4039b9924bd498f96391abd,cpp,ok,1,plain,,false,,,,,,,,,,,,29311
455576932,455576940,70,20a2f114c3b5a83d518142b63d01d1065e829978,cpp,ok,1,plain,,false,,,,,,,,,,,,25646
