tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
151780790,151780791,100,d60906c8b69bcfd7b9ace290683623b4a72de1b7,java,ok,2,java-maven,junit,true,false,26,0,26,0,,,,,6.47,,11293
155423382,155423384,108,785c0b6efae591184b9364dca42646c659f4e114,java,ok,2,java-maven,,false,,,,,,,,,,0,,11293
159717510,159717511,116,282b5e346edf24a9d31675b792befa6c6d91d448,java,ok,2,java-maven,,false,,,,,,,,,,0,,11327
182850025,182850028,123,c6c97168ce765a99b1a82eb347a1bd37f59da566,unknown,unknown,,plain,,false,,,,,,,,,,,,11327
197874230,197874231,134,8af196076158de074f3669f8862ea9a33d1093db,java,ok,2,java-maven,,false,,,,,,,,,,0,,11330
214677949,214677951,149,6dff1756d8b3ecd087dd88f69b4883f336f982ce,java,ok,1,java-maven,,false,,,,,,,,,,0,,11338
241766417,241766418,162,bde6e7d15eee3814ae612e2d883d0de23356d687,java,ok,2,java-maven,,false,,,,,,,,,,0,,11343
467692171,467692172,190,d574e21bd61a7987da02f16f4e2560a21c1e93ec,java,ok,1,java-maven,,false,,,,,,,,,,0,,11379
523182161,523182162,201,a7d73ce7171627d7794bad115c91fc3680cf2d6e,java,ok,1,java-maven,,false,,,,,,,,,,0,,11088
113420168,113420172,27,159864d2d72a3c9871ece7c1fa3b2db8ae3493c5,java,ok,2,java-maven,junit,true,false,5,0,5,0,,,,,1.63,,10779
114573229,114573230,34,8f5e0b63bcaa94fd73ec1b0ffe58686571bd9bca,java,ok,4,java-maven,junit,true,false,5,0,5,0,,,,,1.47,,10311
109011455,109011456,4,ec7823ba1639a263ed2ffb9b01ef526b966865ba,java,ok,2,java-maven,junit,true,false,5,0,5,0,,,,,1.17,,10793
129879450,129879474,57,2bff920e5ce53d255d840b5b793f885111d4400a,java,ok,2,java-maven,junit,true,false,7,0,7,0,,,,,2.28,,10398
133014184,133014193,65,26edd933e16719c7f8262e9a7a351bf3aa39b596,java,unknown,4,java-ant,,false,,,,,,,,,,,,10584
133528640,133528642,72,ccb8a44ea86a73556d7e3ce40d6f33d97e6324cc,java,ok,4,java-maven,junit,true,false,7,0,7,0,,,,,2.08,,10402
140888555,140888556,80,18c1fd960513d0e4511aadb3e66a171fed6c5c19,java,ok,5,java-maven,junit,true,false,7,0,7,0,,,,,1.58,,10405
143925034,143925048,88,342384d346e27ac9a80786a856eed3b8d189f739,java,ok,3,java-maven,junit,true,false,15,0,15,0,,,,,6.4799999999999995,,10921
