tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
103474238,103474239,1076,2362af1d1f9c624841eaecfe8ed19f65e2d0f9fd,android,broken,5,plain,,false,,,,,,,,,,,,52573
105343505,105343506,1100,b8de2b63cab6908d5a4366764fc70884d41f98f1,android,broken,1,plain,,false,,,,,,,,,,,,52845
106292953,106292954,1110,7e10a499ce322a560c2c4973da947746a6231ea7,android,broken,9,plain,,false,,,,,,,,,,,,52845
125004138,125004139,1121,2d7ab13ab36c4fbeaeff8908601462c9df9dbe22,android,unknown,1,plain,,false,,,,,,,,,,,,52845
130745613,130745614,1131,0302adf7b01a5d879eb598845b19dc446f5aa043,android,ok,1,plain,,false,,,,,,,,,,,,52834
140177986,140177987,1141,24499f20e5d7061e2e686c873f9f4edb8f0f7bd8,android,ok,1,plain,,false,,,,,,,,,,,,52837
144270850,144270851,1151,f0512bb351637899b4303e13bacbb5009d268fa5,android,ok,2,plain,,false,,,,,,,,,,,,52840
145743478,145743479,1161,be88be74cc868877bdc0d6d30f371e35a00e5e46,android,ok,1,plain,,false,,,,,,,,,,,,53287
189911383,189911384,1187,866823d13de02963754616a51cb6331a700117d2,android,ok,1,plain,,false,,,,,,,,,,,,53639
214153560,214153561,1230,97bb480fff3178f8884bfce10a3f55d557b2f178,android,ok,1,plain,,false,,,,,,,,,,,,52237
252552055,252552056,1241,839f50ca3fd8df1ca919433e99997e40983c7210,android,ok,2,plain,,false,,,,,,,,,,,,52333
295346582,295346584,1251,d68c73d6135cfeea6922c60ec9467f1710fb63d4,android,ok,1,plain,,false,,,,,,,,,,,,52333
437963916,437963917,1262,d0cee8b3c73020d17835a5bb08a967d22f36a59a,android,ok,1,plain,,false,,,,,,,,,,,,52427
