tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
83406476,83406477,10,58e102cc1a8fc5a8c954e050348a537156b818ad,android,ok,1,plain,,false,,,,,,,,,,,,971
84491226,84491227,12,3e92bb56fa4ac5cc744177db30e7cf1ed5967564,android,ok,2,plain,,false,,,,,,,,,,,,1008
88704816,88704817,14,1fb0d6fb32150fbad5608af7f9896b6f98734ad1,android,ok,1,plain,,false,,,,,,,,,,,,1008
89156542,89156543,16,22e6c3385724acbd3cefe73bdfbc6faaca94f732,android,ok,0,plain,,false,,,,,,,,,,,,1008
89172161,89172162,18,afb8845a9b45f4033dd85298f9d8f69b167d8681,android,ok,0,plain,,false,,,,,,,,,,,,1054
82742472,82742476,1,4082742a094e93955dacbb64bcc547548df7161e,android,broken,0,plain,,false,,,,,,,,,,,,774
89208711,89208714,21,5dc5b295b8d493527bc13638b8eaeb16f63fb854,android,ok,2,plain,,false,,,,,,,,,,,,1165
98025606,98025607,23,6fdf39bb8a081633a1846da952886542ff87652d,android,ok,0,plain,,false,,,,,,,,,,,,1175
154316922,154316923,29,e420f01d4d37ac3af1e341bf49e6ecf38cd47517,android,broken,0,plain,,false,,,,,,,,,,,,1571
160153825,160153827,32,7dc506f8d6f22efe1bf4f5e92fada891cf3d212a,android,unknown,0,plain,,false,,,,,,,,,,,,1571
160161290,160161291,34,5224504a0de9bc501500910d092a6c0b7d25a96e,android,unknown,1,plain,,false,,,,,,,,,,,,1571
160411895,160411896,36,9123d499ca2ee82847d78ed4d328918569214d41,android,ok,0,plain,,false,,,,,,,,,,,,1602
169182979,169182980,38,d8419ffa8494c3ede111e49e8b48fca89a2b02d0,android,ok,0,plain,,false,,,,,,,,,,,,1602
82859587,82859588,3,f62a7cda6e811d5bd3acce696ce2f9b4c5c7133b,android,broken,0,plain,,false,,,,,,,,,,,,855
198690200,198690201,41,316374bd4fb94a87b1d577913186eba5aac2f4bb,android,ok,0,plain,,false,,,,,,,,,,,,1602
82862410,82862411,5,14773c761f2ca9cd4e7086566973420b6737e1d8,android,ok,1,plain,,false,,,,,,,,,,,,858
82869707,82869708,7,cdebd71557272c7bcc485f0b19206ae28b0095b2,android,ok,0,plain,,false,,,,,,,,,,,,931
