tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
88180488,88180489,100,1a9175500e3988837349a460f6b13a4d8378ba76,java,ok,1,java-ant,,false,,,,,,,,,,,,1664
88784043,88784044,111,d476db55d8ba109690f1d9061f91af28ff6a4d29,java,ok,0,java-ant,,false,,,,,,,,,,,,1931
113721024,113721025,122,73407eb52d13a02a10419e93a635c4796ff0dd2b,java,ok,0,java-ant,,false,,,,,,,,,,,,1945
115516701,115516702,130,7288e8c3a6feba085d2338d3a7bb12540cf53661,java,ok,0,java-ant,,false,,,,,,,,,,,,1946
115520388,115520389,136,ac9a946935e7713bd02d915e4fe1f5ffab265bdf,java,ok,0,java-ant,,false,,,,,,,,,,,,1946
115524062,115524064,141,65916a26e00604ed3a4cc2dd52ae2918c44224ab,java,ok,0,java-maven,junit,true,false,11,0,11,0,,,,,0.2,6.89,1951
128265545,128265547,148,0af1f83ab66a0e49f9ed716cb6b6ae6203c60f03,java,ok,1,java-maven,junit,true,false,11,0,11,0,,,,,0.25,6.57,2008
35318670,35318671,15,398584ada563c2cc1cfaad84e1fa7559597b2604,java,broken,,java-ant,,false,,,,,,,,,,,11.4,1189
255837713,255837714,177,23997b64f6cb375c43feb4cadb8df8ee5747abe0,java,ok,1,java-maven,junit,true,false,11,0,11,0,,,,,0.65,20.69,2018
35418322,35418323,21,0ea8b83b7f7f2747abf7b6a48bd06484f574e309,java,broken,,java-ant,,false,,,,,,,,,,,15.3,1188
36435505,36435506,33,13f473c58346b8a6d907c38b969475cd62dab2de,java,broken,,java-ant,,false,,,,,,,,,,,18.43,1192
43156610,43156611,44,604aaa951ebce824e88ad1619c8f9a142b8573a6,android,broken,0,plain,,false,,,,,,,,,,,,1197
60376973,60376974,71,1afe8307edfb734c4254dacd52f78082f22555be,android,broken,0,plain,,false,,,,,,,,,,,,1416
