tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
5206485,5206486,10,b520683df96623055aee58b4b6ddc8daa87d378f,java,broken,,java-ant,,false,,,,,,,,,,,0,10999
7077119,7077121,183,b4ba6d67dd846fc3cad25d430ad5cc4e9ff8f512,java,broken,,java-ant,,false,,,,,,,,,,,0,11336
5363747,5363750,20,1f531fbb6ab93964459e79fe0a04b429df694eb7,java,unknown,,java-ant,,false,,,,,,,,,,,,11229
7659516,7659519,265,fe5ba077ff60c8bde4a323678cee259b31c87201,java,ok,,java-ant,,false,,,,,,,,,,,0,12028
8327875,8327879,390,cbefe78d6d650766313488960b12ef85fff8160c,java,unknown,,java-ant,,false,,,,,,,,,,,,12771
8616733,8616734,435,e2c43e44e172c00e63eeb3664aff7f9fb1199e06,java,broken,,java-ant,,false,,,,,,,,,,,0,13011
5371880,5371882,49,be0af49fd7fddb6dca73e1fb8efbd5808fc4337e,java,unknown,,java-ant,,false,,,,,,,,,,,,11237
9200495,9200498,564,a79c67edc5804eb712abfacda4fb5d657dfadc8e,java,ok,,java-ant,,false,,,,,,,,,,,0,13361
10395880,10395884,587,b891e8cf952071bf8ad5ee11d7950b0afbcf411a,java,unknown,,java-ant,,false,,,,,,,,,,,,13942
5391963,5391964,60,4ef8052d7bd8c38750a128588daab2db3de1027b,java,ok,,java-ant,,false,,,,,,,,,,,0,11266
11519107,11519109,632,f900289a75fb6a82dd0a6e2515d32fe7ee44d03d,java,unknown,,java-ant,,false,,,,,,,,,,,,14702
12353092,12353095,660,df9f07991670e79791310ede4142b11cb504590f,java,ok,,java-maven,junit,true,false,0,0,0,0,,,,,0,0,14820
16262208,16262210,692,0d4bd958091b9fe7fbe2a1bd5a0dbee4fc3cf275,java,unknown,,java-ant,,false,,,,,,,,,,,,14939
16600311,16600314,719,b0e953f7a2c3545441eeed32cc23af73c42e6d49,java,broken,,java-maven,,false,,,,,,,,,,0,0,15068
18590248,18590249,760,4f8695617b19e65a4bd33c9c578c5002fafdc2f7,java,ok,,java-maven,,false,,,,,,,,,,0,0,15105
27328514,27328516,835,a7cdd839fa98cf4d396a16a9e12f9b35bdf4926d,java,ok,,java-maven,,false,,,,,,,,,,239.78,716,15220
28562903,28562905,892,40cca91685c8830b0af9d11b51f9251f3c2d4ab1,java,ok,,java-maven,,false,,,,,,,,,,195.57999999999998,680,15288
