tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
29122999,29123000,10,db3317e5a89d0ee6cf638124c3886d69af623f9e,java,unknown,,java-ant,,false,,,,,,,,,,,,15664
29390338,29390339,14,069f44521faf6872c8cbb479d95ed7f3359fe4c0,java,unknown,,java-ant,,false,,,,,,,,,,,,30031
29470836,29470838,18,78e6dd27fc51cdd7d19c632773f3bbc9ca0bd4b0,java,unknown,,java-ant,,false,,,,,,,,,,,,38599
29572503,29572504,21,4f791c70baddfdf110c5319774fae022f29647e7,java,unknown,,java-ant,,false,,,,,,,,,,,,38599
29766010,29766011,25,19493f7d3c137c2257ac965d89e52324de806e9c,java,unknown,,java-ant,,false,,,,,,,,,,,,38599
29766436,29766437,29,0f3cbe784b505abae7a27b1f1f9ff28b86053e63,java,unknown,,java-ant,,false,,,,,,,,,,,,38599
29767469,29767470,32,bbf990711bab8c2bcbb48a9b913ae13bd2d0b56e,java,unknown,,java-ant,,false,,,,,,,,,,,,38734
29773151,29773152,36,47ba614b9334df167bb93ebd4f7e681b10becd8b,java,unknown,,java-ant,,false,,,,,,,,,,,,38734
29022845,29022846,3,54ae11360d5a9dd842057ef0581f567d4fdedf6e,java,unknown,,java-ant,,false,,,,,,,,,,,,3768
29873933,29873934,43,88f927c9029d6292a64c5b50991fdc17703eac9e,java,unknown,,java-ant,,false,,,,,,,,,,,,38796
30000012,30000013,47,583e58903f27cfdf60c0de5cc9e4280cd83eec1d,java,unknown,,java-ant,,false,,,,,,,,,,,,38796
30251910,30251911,50,d7d3afabb203291edd86e8c550b6b352d02fcb67,java,unknown,,java-ant,,false,,,,,,,,,,,,38796
31117473,31117474,54,d6f3fd68ebc9918020f303dac3900964e8d9b702,java,unknown,,java-ant,,false,,,,,,,,,,,,38796
31125128,31125129,58,f506135a85446c23326a15ee4d39949313c58974,java,unknown,,java-ant,,false,,,,,,,,,,,,38796
31294187,31294188,61,1e9ee163fff90ddafa8710212ce7e28049db737f,java,unknown,0,java-ant,,false,,,,,,,,,,,,38796
31298171,31298172,65,233330144b402c6a6da6c8baf0def198f1706206,java,unknown,0,java-gradle,,false,,,0,,,,,,,,,38796
31587991,31587992,69,1ea60fe20c327e64faf4b6069d5e0aa0042d71d4,java,unknown,0,java-gradle,,false,,,0,,,,,,,,,38796
39344185,39344187,72,c4f840b7892d2e4a7dc1e96b620740f329b44ec2,java,unknown,0,java-gradle,,false,,,0,,,,,,,,,38796
42157360,42157361,76,0354d69478960c04b97c3a9e0647f4a894f64697,java,unknown,10,java-gradle,,false,,,0,,,,,,,,,38796
29042366,29042367,7,d160633b68ca94838d5470638e7c40648cccdc4e,java,unknown,,java-ant,,false,,,,,,,,,,,,3873
