tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
293614039,293614040,10,55b2c92b3343df73ff0b46cee26f6495888dbd0a,unknown,unknown,,plain,,false,,,,,,,,,,,,6754
293615632,293615633,12,4af65f981745c443d8414ca7dd3bab8a4c56578d,java,ok,1,java-maven,,false,,,,,,,,,,0,,6754
293617677,293617678,14,8176f6c6724282f00c99b7686dbb1b87ce458a9a,java,ok,1,java-maven,,false,,,,,,,,,,0,,6754
293633451,293633454,16,5175ca42d41a8bf935882327c96bd58b9ea4fa81,java,ok,3,java-maven,,false,,,,,,,,,,0,,6754
294365225,294365226,18,40ca3821b6ed1f809778b2bdf21ed9e7f8e3e360,java,ok,1,java-maven,,false,,,,,,,,,,0,,6754
284987329,284987330,1,2dc93504788a317f681ac3e23547f2f07c482757,java,ok,1,java-maven,,false,,,,,,,,,,0,,6625
296132226,296132227,21,e630764c6fbe871d092707e71e4c620e3ab98d1c,java,ok,2,java-maven,,false,,,,,,,,,,0,,6754
317898436,317898438,23,46a4dd99bf22e18460dad92af24126ae354e5b94,java,ok,3,java-maven,,false,,,,,,,,,,0,,6754
317911270,317911271,25,e45d725c65fbdc54249894bbf924843924e79386,java,ok,2,java-maven,,false,,,,,,,,,,0,,6754
320125994,320125995,27,c900061d2203a96a6ffd099d9ac7a7af89ea4b39,java,ok,1,java-maven,,false,,,,,,,,,,0,,6754
320128621,320128622,29,033a63affab4bf704812cdd795179f7bae3c57d1,java,ok,1,java-maven,,false,,,,,,,,,,0,,6754
320130005,320130006,30,7f0984b41a6e3c4cd0b35d6880319ec6dc30a85a,java,ok,4,java-maven,,false,,,,,,,,,,0,,6754
321378368,321378369,32,079b234ef0de720fdc720f298a6176cc95694816,java,ok,1,java-maven,,false,,,,,,,,,,0,,6754
321381665,321381666,34,f57fd4e1d1bb375b5ed4cde330d69e0d58c31b7a,java,ok,1,java-maven,,false,,,,,,,,,,0,,6754
321383224,321383225,36,c88c3cd363e9ff83e9913417f96673877f8fbcea,java,ok,1,java-maven,,false,,,,,,,,,,0,,6754
331079574,331079575,38,a8635ef7029e5fab6e0de7366a0423e5d7bbb69c,java,ok,1,java-maven,,false,,,,,,,,,,0,,6754
284988292,284988293,3,aab2f84be4ab9ad6f95a3182baf48d1494e06e3d,java,ok,1,java-maven,,false,,,,,,,,,,0,,6625
331079744,331079745,41,dd2be6fde15caed2f08077440d585b552f3c8a2d,java,ok,2,java-maven,,false,,,,,,,,,,0,,6754
341376553,341376554,43,353daece7900d892999082f2ea8fff0c410f5315,java,ok,1,java-maven,,false,,,,,,,,,,0,,6754
341932970,341932971,45,22e5aa03d3da69c6c68fd21365a94c3d6c038a1a,java,ok,1,java-maven,,false,,,,,,,,,,0,,6754
