tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
116220706,116220707,1162,afe5dbac0f45d17901495a044ece57b6cda436a2,android,ok,7,plain,,false,,,,,,,,,,,,35407
116220706,116220708,1162,afe5dbac0f45d17901495a044ece57b6cda436a2,android,ok,2,plain,,false,,,,,,,,,,,,35407
149739408,149739409,1251,e95327961d74baa51fc92d295ef48aaedf547943,android,ok,2,plain,,false,,,,,,,,,,,,36040
149739408,149739410,1251,e95327961d74baa51fc92d295ef48aaedf547943,android,ok,7,plain,,false,,,,,,,,,,,,36040
182902916,182902917,1332,a3fc3a69b069a7c0f5326a2b8c3a4ac129671daf,unknown,unknown,,plain,,false,,,,,,,,,,,,36182
182902916,182902918,1332,a3fc3a69b069a7c0f5326a2b8c3a4ac129671daf,unknown,unknown,,plain,,false,,,,,,,,,,,,36182
212905437,212905438,1448,18061f47c590e7188d5b64018c6b3499f6a0d78d,android,ok,2,plain,,false,,,,,,,,,,,,36504
241603633,241603634,1467,5edf435b1804cfa4b3bd37e2cca4c00112200085,android,unknown,2,plain,,false,,,,,,,,,,,,36538
296663101,296663103,1554,96dc14aeb0453148140ec77c04138dd99dd3964b,android,ok,2,plain,,false,,,,,,,,,,,,37032
440940746,440940747,1604,e547441c5c51ebb379c44ca6243a29244a76e2e2,android,ok,2,plain,,false,,,,,,,,,,,,37439
