tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
307122676,307122677,1042,ac0b598c0386dacc6c511a9c32ac320fd0bad6f1,android,unknown,2,plain,,false,,,,,,,,,,,,10617
307148848,307148849,1045,6e5217ad90a11014e8dfa7680fee935498a4de27,android,ok,65,plain,,false,,,,,,,,,,,,10617
307162154,307162157,1048,ca2a4fb6f441b5337011504c88913c29b5656460,android,ok,88,plain,,false,,,,,,,,,,,,10617
330099717,330099718,1052,6c87248db055e0b06591340a1be77a6904abdf8c,android,ok,71,plain,,false,,,,,,,,,,,,10617
330102097,330102098,1054,ed731add96cebc13e7c4f869c8638ac1e55548c3,android,ok,93,plain,,false,,,,,,,,,,,,10617
373654708,373654709,1058,08a7d7ccd92b7cfafdc20d655a0e92e4557b9dd8,android,ok,77,plain,,false,,,,,,,,,,,,10617
373658576,373658577,1060,917686ced81b335b6708d81d6cc0e3e496f7280d,android,ok,92,plain,,false,,,,,,,,,,,,10617
539957277,539957278,1084,40e7d1dca989c7a3df2e2297274ebeb58814cd16,android,unknown,124,plain,,false,,,,,,,,,,,,10617
540479259,540479260,1088,ded625e1f1ba9ad71e719918ffd74933844cf569,android,unknown,129,plain,,false,,,,,,,,,,,,10624
540487847,540487848,1090,cff8b62f5a0c4cb812a8d128c74070c362d213b4,android,ok,150,plain,,false,,,,,,,,,,,,10624
540491519,540491520,1092,917686ced81b335b6708d81d6cc0e3e496f7280d,android,unknown,2,plain,,false,,,,,,,,,,,,10617
