tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
37004929,37004930,100,3f08391c7ae238b34b15100edc0c7a84b6a9dcae,java,ok,,java-maven,junit,true,false,311,0,311,3,,,,,50.14999999999999,,8687
53353345,53353347,113,103402e1efe95bef666438601b717dfda2950913,java,ok,0,java-maven,junit,true,false,311,0,311,3,,,,,49.58,,8691
58788036,58788038,127,116a65f02e4c6cb089a6d9814a0db10ed18757a9,java,ok,0,java-maven,junit,true,false,312,0,312,3,,,,,57.5,,8806
16058881,16058883,13,14364b9e7fc8398ab5a70bba5bc7ab77442792a7,java,ok,,java-maven,junit,true,false,125,0,125,3,,,,,26.919999999999998,,6126
98930459,98930460,154,9a89aa65f637befc131c5f9660544f11b278195f,java,broken,1,java-maven,junit,true,true,315,1,316,4,,,,,71.12999999999998,,9163
178495629,178495637,206,2f42beac908d328dbc2367631d0adbd08da49487,unknown,unknown,,plain,,false,,,,,,,,,,,,10119
17743894,17743895,21,fc2e4818f186a81ab9097ae4a1e0548d483bc739,java,ok,,java-maven,junit,true,false,164,0,164,3,,,,,28.08,,6912
340428879,340428881,231,9b0b87e6b3dea699f750341005348fc4e9e37480,java,ok,1,java-maven,junit,true,false,323,0,323,6,,,,,75.65000000000009,,10204
404309078,404309080,244,0d653c3bfb2ecde5fa934e0ba79ec9d4024ef0dd,java,ok,1,java-maven,junit,true,false,323,0,323,6,,,,,75.56000000000006,,10240
662963657,662963658,286,6f7ae09aa16b0ef3326c38dac5c94690cb36aec8,java,ok,1,java-maven,junit,true,false,338,0,338,6,,,,,82.58000000000001,,10563
15258955,15258957,2,01df55e3d290c3d69b5f6441b50369bec726583f,java,broken,,java-maven,junit,true,true,30,19,49,3,,,,#testCode(net.greghaines.jesque.DelayedQueueTest)#mixedInSpiteOfListenerFailAll(net.greghaines.jesque.IntegrationTest)#successInSpiteOfListenerFailAll(net.greghaines.jesque.IntegrationTest)#successInSpiteOfListenerFailJob(net.greghaines.jesque.IntegrationTest)#successInSpiteOfListenerFailSuccess(net.greghaines.jesque.IntegrationTest)#jobMixed(net.greghaines.jesque.IntegrationTest)#acquireLockFail(net.greghaines.jesque.IntegrationTest)#acquireLockSuccess(net.greghaines.jesque.IntegrationTest)#unpermittedJob(net.greghaines.jesque.IntegrationTest)#jobSuccess(net.greghaines.jesque.IntegrationTest)#failureInSpiteOfListenerFailAll(net.greghaines.jesque.IntegrationTest)#failureInSpiteOfListenerFailError(net.greghaines.jesque.IntegrationTest)#jobFailure(net.greghaines.jesque.IntegrationTest)#successInSpiteOfListenerFailPoll(net.greghaines.jesque.IntegrationTest)#testCall(net.greghaines.jesque.worker.TestWorkerImplFactory)#issue18(net.greghaines.jesque.ClientBeforeWorkerTest)#testPauseAndShutdownCommands(net.greghaines.jesque.AdminIntegrationTest)#testAdminAndWorkerPool(net.greghaines.jesque.AdminIntegrationTest)#,1.1900000000000002,,5282
19053216,19053217,40,e2f119811fdc8b880bf60ee71a10d87dd7b7d623,java,ok,,java-maven,junit,true,false,248,0,248,3,,,,,29.189999999999998,,8099
20255525,20255526,53,4ce0666e62398bd2810f9987f080f51cc1b35000,java,ok,,java-maven,junit,true,false,250,0,250,3,,,,,31.759999999999994,,8207
28367823,28367824,66,0ea5a7084cef0ad0a1d45c8548b49f9289ca8727,java,ok,,java-maven,junit,true,false,263,0,263,3,,,,,34.07999999999999,,8533
31039415,31039417,79,540e5ad84fcbc3e6f6ce12b832b268c50ec887f1,java,ok,,java-maven,junit,true,false,305,0,305,3,,,,,34.59,,8786
