tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
137755974,137755975,10,bec4744a5a7256c733199ba1e6b194172480bf56,android,ok,1,plain,,false,,,,,,,,,,,,251
137817117,137817120,12,37da50a45e2f5bc00c92ff008423bcfdf41abc2c,android,ok,2,plain,,false,,,,,,,,,,,,251
138044319,138044320,14,d7118d3342c6f38d107d930f6d2c0abf3f6422de,android,ok,1,plain,,false,,,,,,,,,,,,281
138045196,138045199,16,fec74f6b2ef3c00fb1beda8754363ac83ebe4aab,android,ok,1,plain,,false,,,,,,,,,,,,281
138557520,138557521,18,06ffaa9e872fc68ffb652fc1849d9b5e698e5cb0,android,ok,1,plain,,false,,,,,,,,,,,,281
137601257,137601261,1,80b0c8969169c02e56abde8094fd5a42999b724c,android,broken,1,plain,,false,,,,,,,,,,,,251
143537486,143537487,21,ee601c22b650769bc0a4e89551c0e755c9319097,android,ok,2,plain,,false,,,,,,,,,,,,281
144385689,144385690,23,4150430e80b1121cc4a6ac398a8e20c1202d5f4e,android,ok,1,plain,,false,,,,,,,,,,,,281
150398927,150398928,25,5262cae3d67d12f221aa98430a984bcf7b6a6fd8,android,ok,1,plain,,false,,,,,,,,,,,,281
155979403,155979404,27,bf2d264556d1ec655a6eaef9eb4c7a448bcb3fc1,android,ok,2,plain,,false,,,,,,,,,,,,281
155984790,155984791,29,973f9589623f0094d0b470333251073e143c3f9c,android,ok,1,plain,,false,,,,,,,,,,,,293
155985150,155985151,30,08939e49a8d553f84c7244f8ee4a238a979d417b,android,ok,0,plain,,false,,,,,,,,,,,,293
155996459,155996460,32,fec7662f4e42d9811e9d66b4fc5261a126f9242d,android,ok,4,plain,,false,,,,,,,,,,,,374
155999638,155999639,34,a920a001719e35575eec45a04ad7642ddc601037,android,ok,1,plain,,false,,,,,,,,,,,,374
156178680,156178681,36,644d007f5ca92c8297cfc9f37ecc1bcd455c5472,android,ok,4,plain,,false,,,,,,,,,,,,374
162159303,162159304,38,33c4924d7e024a7e3b99d3b816d3d4e42017e4c6,android,ok,0,plain,,false,,,,,,,,,,,,374
137602619,137602624,3,52f99741b123673520a7b092b4ea50a1b4f4cf06,android,ok,1,plain,,false,,,,,,,,,,,,251
162160649,162160650,41,6615eda47a279280ad328bb2e4ce2ef11c1b60ef,android,ok,0,plain,,false,,,,,,,,,,,,371
164037906,164037907,45,c45d4186e18a59e5b36c3d5b989b2e623e87448d,android,ok,0,plain,,false,,,,,,,,,,,,369
