tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
124761388,124761393,100,009f43afdcc8ddd38a24c6d284304cb7c67ff65d,android,ok,2,plain,,false,,,,,,,,,,,,1076
124803621,124803624,106,a90734f9ca9af14d4c45c1f77e87098ec3e299eb,android,ok,2,plain,,false,,,,,,,,,,,,1086
69552994,69552995,17,abdda7500b1f08ba8ca0921ddb981912c9876a1f,android,ok,1,plain,,false,,,,,,,,,,,,818
69633105,69633106,22,a451bc18332ae9452f0cc6ff03c2ab8fa41d0713,android,ok,1,plain,,false,,,,,,,,,,,,818
71443634,71443635,28,abd493d41ace8e9cee046705261c858f4dbf5ec4,android,ok,0,plain,,false,,,,,,,,,,,,846
68929133,68929134,3,4306abd5411d8d7f262ca1b4e1605b722f3dc5be,ruby,broken,0,ruby,,false,,,0,,,,,,,,,748
72320799,72320803,46,282ba7b9620cc374403bd717cc10162a3568fb3e,android,ok,0,plain,,false,,,,,,,,,,,,925
72366026,72366027,53,ed3743406823931a62593fc7a11de5d2cf0cb526,android,ok,0,plain,,false,,,,,,,,,,,,938
69010539,69010540,6,31212561cf31288a1d95a935e42e13a8e3490627,ruby,broken,0,ruby,,false,,,0,,,,,,,,,826
100866673,100866678,80,318979605eb0e0925862648a1788b143cbc01c4a,android,ok,1,plain,,false,,,,,,,,,,,,1022
102871061,102871062,86,15b0909f55941d77b46d6ecc381ff86df4c489df,android,ok,1,plain,,false,,,,,,,,,,,,1072
116467428,116467430,91,144dd59a1f390d2d0a28881d00885bd978b928c3,android,ok,1,plain,,false,,,,,,,,,,,,1071
