tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
436290303,436290304,1250,568424ad3cd9fe1fdd02c4089ceb94dcc53499dd,java,ok,1,java-ant,,false,,,,,,,,,,,0,30794
459389426,459389430,1285,3681aa3796084b41d67a25b31c6595dbc180167a,java,ok,1,java-ant,,false,,,,,,,,,,,0,30789
481990235,481990239,1330,49f1c5dab573080a86f612218f01c5c4191f3a00,java,ok,1,java-ant,,false,,,,,,,,,,,0,30910
506653252,506653254,1347,37610e67f77db2f238e7fde2c36f1f0d180790b1,java,ok,1,java-ant,,false,,,,,,,,,,,0,30911
597331561,597331565,1391,34cfd132a394a4ff274592ca87080a100fa811c4,java,ok,1,java-ant,,false,,,,,,,,,,,0,30905
603210027,603210031,1406,30d55e18f37cba16b389d463a450196ee10a39c4,unknown,unknown,,plain,,false,,,,,,,,,,,,30909
642256736,642256739,1434,95af9761e540e3f019d1ffb767c56c52069166af,java,ok,1,java-ant,,false,,,,,,,,,,,0,31026
673379322,673379329,1451,50a285d3ce69b4556ac46d8633f6beb4527b4679,java,ok,1,java-ant,,false,,,,,,,,,,,0,31026
700619323,700619325,1467,bef3bcaaee3c3e433f78cb93c1dfd14eb38acd6d,java,ok,1,java-ant,,false,,,,,,,,,,,0,31026
734750290,734750296,1481,c29dd8239d6b353e699397eb090a1fd27411fa24,java,ok,1,java-ant,,false,,,,,,,,,,,0,31097
