tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
283652535,283652536,100,82a446fdf417aaca5f4cfdf907efe1661bfbee67,java,ok,0,java-gradle,,false,,,0,,,,,,,,,336
322855849,322855867,167,f9af028f35648582a1b8d879d01f30a941fd435d,java,ok,0,java-gradle,junit,true,false,,0,,,,,,,,,368
343104547,343104550,219,56687ad57d515d4e725cea0669b1f38c42f5c853,java,ok,0,java-gradle,,false,,,0,,,,,,,,,368
347373246,347373250,303,6c759e2e5146b5dacb9350a1be073a3057ac0163,java,ok,0,java-gradle,,false,,,0,,,,,,,,,565
360592051,360592059,353,7bf40178345d5ca837579c8ddb8c025401a98788,java,ok,1,java-gradle,junit,true,false,,0,,,,,,,,,578
383836322,383836327,466,2fda7051ebf6dcffa458e279254fee7eb7e6fc32,java,ok,0,java-gradle,,false,,,0,,,,,,,,,690
396073309,396073321,507,26f463e711f6d030a03f6238e4742c70a04ecc78,java,ok,0,java-gradle,,false,,,0,,,,,,,,,692
410794662,410794667,544,0a541900a21ab4a0c2b3776856b8f7955495b66f,java,ok,0,java-gradle,,false,,,0,,,,,,,,,674
421556182,421556186,584,e3e5c00957094dd9ae522843a62fe2d8902aac00,java,ok,1,java-gradle,,false,,,0,,,,,,,,,721
434981225,434981237,620,81ae0170e0fdc5d25c19f8a7b47ac5b537f9b24d,java,ok,0,java-ant,,false,,,,,,,,,,,7.96,721
462473754,462473766,702,095d32c8b95d64c96ecf906c86b6d1d3d44ad7e8,java,ok,1,java-gradle,,false,,,0,,,,,,,,,721
480885921,480885926,740,d7a609b149f2554b5437dedba1bb4853e4ced789,java,ok,1,java-ant,,false,,,,,,,,,,,12.01,720
497778784,497778793,773,84b66933762c28af646da28770a5198d34d1d85d,java,ok,1,java-ant,,false,,,,,,,,,,,10.69,720
518334089,518334097,806,0a42b0ab9a59c0c79a3286d911e05b79848a1626,java,ok,1,java-gradle,,false,,,0,,,,,,,,,720
535345805,535345820,840,d561c80146a2f825836ebadebc8d798a14496695,java,ok,1,java-ant,,false,,,,,,,,,,,24.03,720
553348463,553348467,904,2afa6c7adc10718083f3c17ff6a260badbe84ef0,java,ok,1,java-gradle,,false,,,0,,,,,,,,,721
570240437,570240451,937,8694c37c613791a8f673626ac5ee68e31cdf906f,java,ok,1,java-gradle,,false,,,0,,,,,,,,,721
