tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
369024120,369024121,1093,805882e8abec45600f0364ac7c2c288e1182ea0b,cpp,broken,1,plain,,false,,,,,,,,,,,,18015
370980901,370980903,1116,ec39cac3e5bbcc8fb59d890d55cf108abf8a7212,cpp,unknown,1,plain,,false,,,,,,,,,,,,18015
391199389,391199391,1244,21c6245538a73fd9b91de8b6d2c65e7405bc4f42,cpp,unknown,1,plain,,false,,,,,,,,,,,,17873
399137049,399137050,1260,457e302bf325d4a5873b1260678838d520406f2a,cpp,broken,1,plain,,false,,,,,,,,,,,,17873
413507161,413507163,1320,1c4107f420c19890d8d0af623b2216c2208050cc,cpp,unknown,1,plain,,false,,,,,,,,,,,,17882
422079882,422079883,1349,4738f009a1c3c7c85a38f25013563e7223b3b20d,cpp,broken,1,plain,,false,,,,,,,,,,,,17900
450770787,450770788,1473,e79632bbb4e5c59b3e311220f0ce4920f8b7464c,cpp,broken,1,plain,,false,,,,,,,,,,,,19063
461724360,461724362,1498,8afbf02c4d1c5517ff8ac0e68f58baca0ea25efc,cpp,unknown,1,plain,,false,,,,,,,,,,,,19061
482794461,482794462,1520,e7cc696a2d442faaba9f16eba43072ccba18257f,cpp,broken,2,plain,,false,,,,,,,,,,,,19068
555794876,555794877,1556,78157c8cf2c0ffcc52059976bcea41443a522eb2,cpp,broken,2,plain,,false,,,,,,,,,,,,19076
