tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
158966718,158966719,10,57b728edd07f46dfade4343d1ad875dee9241e81,java,ok,1,java-gradle,junit,true,false,,0,,,,,,,,,4724
170687547,170687548,16,face2584f60820f7ed1d1df8143c61ce361d62b3,java,ok,1,java-gradle,junit,true,false,,0,,,,,,,,,4724
227537420,227537421,24,57c7f5fcfd9924c396420ffeed5a016565c59d53,java,ok,1,java-gradle,junit,true,false,,0,,,,,,,,,4861
142979634,142979635,2,c4265eff694cfb34eaef1bdd929ee398c1ccfa64,java,ok,1,java-gradle,junit,true,false,,0,,,,,,,,,4689
378032398,378032399,32,5c60dc543605ca9a5cbaef5127bb1cb5a793dbaa,java,ok,1,java-gradle,junit,true,false,,0,,,,,,,,,4896
574886054,574886055,38,fac2ee8fb6c7f31f2b27d1b5674c463708bfb5e5,java,ok,1,java-gradle,,false,,,0,,,,,,,,,4918
673485035,673485036,49,284f86ef83a113b4da1ee4907070af6ca1bd0ade,java,ok,1,java-gradle,,false,,,0,,,,,,,,,4918
741618359,741618360,54,35e9e47e8da235e9827d2ba46aa0f8d9a1bfc6c6,unknown,unknown,,plain,,false,,,,,,,,,,,,4918
741633180,741633183,57,97815eb07b044bffddbf13671d903cc537f9fba9,unknown,unknown,,plain,,false,,,,,,,,,,,,4926
149883123,149883124,7,6a5f9917bd46c111699f8990dafdfbd4a538dd67,java,broken,3,java-gradle,junit,true,false,,0,,,,,,,,,4718
