tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
81182802,81182803,18,93aa3ef2348ff39cc35ba00cf9a35b046e78b189,android,broken,2,plain,,false,,,,,,,,,,,,6631
81244281,81244282,20,ad6bbcc297bf66df78e26b52e544ee2f046e8155,android,broken,3,plain,,false,,,,,,,,,,,,6654
81942093,81942094,22,f359d3707326b20213a6c73aa3b9a00f364ba125,android,broken,2,plain,,false,,,,,,,,,,,,6654
92473200,92473201,26,0a52a48adda99c764e8efddeaaa34f066b516f98,android,broken,2,plain,,false,,,,,,,,,,,,6746
98698172,98698175,38,a763b4ff6c8e531952565e1f29a64b6cff245713,android,ok,2,plain,,false,,,,,,,,,,,,6735
98699696,98699697,40,7d43d695766e738e8da633d402c3707a9a6cc9fb,android,broken,4,plain,,false,,,,,,,,,,,,6735
99619430,99619431,48,d8f1e8fbc25245033e79eace0fcc85ad5587eaf9,android,broken,2,plain,,false,,,,,,,,,,,,6922
107876189,107876190,58,297769a8b55516e6e1cbeeff1dbd0152cde344fa,android,broken,8,plain,,false,,,,,,,,,,,,6968
132124278,132124279,62,7d5c8ade7e2dc4dacfa2186243d6f1fc0332c71f,android,ok,3,plain,,false,,,,,,,,,,,,6968
132125167,132125168,64,0567ffc9e762e409a62f2756a6fc02dc5479a68e,android,ok,3,plain,,false,,,,,,,,,,,,6968
138559299,138559300,67,fe70509e13efe98c105ca903e5adbf8468335027,android,ok,3,plain,,false,,,,,,,,,,,,6971
155286504,155286505,72,4163e81603c8d9c2aa66506373b27d35756b2dd5,android,broken,3,plain,,false,,,,,,,,,,,,6967
157463086,157463087,74,8bf6c42f84c158630fedc35ef810b9558d7dd80b,android,broken,3,plain,,false,,,,,,,,,,,,6967
