tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
22361859,22361860,100,466ec92e4e815b6d3ca1047d6e893e28f4f8646c,java,unknown,,java-ant,,false,,,,,,,,,,,,19746
24954306,24954309,130,667c7515e6bf99f48343c818039447be20418943,java,ok,,java-maven,junit,true,false,725,0,725,14,,,,,223.81999999999996,258,21263
18516954,18516956,14,1e9733c607a5050afeb9f3227c20307b8ff958a7,java,unknown,,java-ant,,false,,,,,,,,,,,,18939
28672015,28672017,189,9328efe0dbd523ebb57858967aa7eaa1badbb94f,java,ok,,java-ant,,false,,,,,,,,,,,,20686
18846400,18846402,21,3166a20108f6b921216c9ff6181e655fa8ea3cd4,java,ok,,java-maven,junit,true,false,221,0,221,0,,,,,64.56,,19440
39352147,39352149,302,3596e817ffd92e2f575acc7c37444d7d5bf340a7,java,ok,103,java-ant,,false,,,,,,,,,,,,23128
40034117,40034118,330,306aa25c353805ffc01f446b1ce0afff5da43368,java,ok,108,java-maven,junit,true,false,900,0,900,13,,,,,176.20999999999998,438,23923
41336928,41336929,359,faa7796375d240a57ad7b055304f0064d24f7985,java,ok,132,java-maven,junit,true,true,642,77,719,0,,,,ClientServerWarWithContextPathIntegrationTest>AbstractClientServerIntegrationTest.clientCanCallServerNegativeMatchQueryStringParameterNameOnly#ClientServerWarWithContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarWithContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarWithContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarWithContextPathIntegrationTest>AbstractClientServerIntegrationTest.clientCanVerifySequenceOfRequestsReceivedEvenThoseNotMatchingAnException#ClientServerWarWithContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarWithContextPathIntegrationTest>AbstractClientServerIntegrationTest.clientCanCallServerNegativeMatchBodyParameterValueOnly#ClientServerWarWithContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarWithContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarWithContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarWithContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarWithContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarWithContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarWithContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarWithContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarWithContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarWithContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarWithContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarWithContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarWithContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarWithContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarWithContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarWithContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarWithContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarWithContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarWithContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarWithContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarWithContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarWithContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarWithContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarWithContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarWithContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarWithContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarWithContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarWithContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarNoContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarNoContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarNoContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarNoContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarNoContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarNoContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarNoContextPathIntegrationTest>AbstractClientServerIntegrationTest.clientCanCallServerNegativeMatchQueryStringParameterNameOnly#ClientServerWarNoContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarNoContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarNoContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarNoContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarNoContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarNoContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarNoContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarNoContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarNoContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarNoContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarNoContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarNoContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarNoContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarNoContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarNoContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarNoContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarNoContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarNoContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarNoContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarNoContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarNoContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarNoContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarNoContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarNoContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarNoContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarNoContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarNoContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarNoContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarNoContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarNoContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarNoContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarNoContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarNoContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarNoContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#ClientServerWarNoContextPathIntegrationTest>AbstractClientServerIntegrationTest.resetServer#,37.32,105,26345
43068052,43068053,409,ff7d9616ca9e49f5ae4f0c12ba38f851bd679761,java,ok,78,java-maven,junit,true,false,1012,0,1012,0,,,,,152.92999999999998,413,25416
19243690,19243691,45,2c46edfe4c4cfb01ae413b0218d77b7a81b866e5,java,broken,,java-maven,junit,true,true,637,3,640,6,,,,shouldStopMockServerAndProxyRemotely(org.mockserver.maven.InstanceHolderTest)#shouldStopMockServerOnlyRemotely(org.mockserver.maven.InstanceHolderTest)#shouldStopProxyOnlyRemotely(org.mockserver.maven.InstanceHolderTest)#,186.17000000000004,,19574
