tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
215318365,215318366,100,98bc8b4ec2aa656e2624aad3fc900bbbd0932366,java,ok,1,java-maven,junit,true,false,80,0,80,0,,,,,66.95,,4021
357477172,357477173,230,0e0e999a4062dae23692984f32f10f49780f30db,java,unknown,1,java-gradle,,false,,,0,,,,,,,,,5330
429064657,429064658,335,33058d73ace0c962376b4d98c0a4975c26af4ca4,java,ok,2,java-maven,junit,true,false,182,0,182,3,,,,,166.34,202,5908
83677353,83677354,39,c8a1e9d4df0e7c8b8218b86c86effb25e8bc27b8,java,cancelled,1,java-ant,,false,,,,,,,,,,,,2146
555788038,555788039,455,f4d37c68a3ba34d5f19bfe0f7b33efe7cf93c483,java,unknown,2,java-ant,,false,,,,,,,,,,,,6846
555950318,555950319,488,d64a56af8228ae786e9b3c8a3919479e4df460fe,java,unknown,117,java-ant,,false,,,,,,,,,,,,6846
556081597,556081598,521,f4523ebfdd418060ce11c5c38d0c0df69c157d02,java,ok,67,java-maven,junit,true,false,396,0,396,8,,,,,0.0,,6855
567203843,567203845,549,7557a03dd51c0586298ec11d12ecc20a614b41f2,bash,unknown,13,plain,,false,,,,,,,,,,,,7059
587614276,587614277,572,f973d6c24475787fef632e50590b5e6632420ec9,unknown,unknown,,plain,,false,,,,,,,,,,,,7289
613325321,613325323,602,336739a5717986c89b2faaae3275f3b196efa120,bash,unknown,14,plain,,false,,,,,,,,,,,,8818
642369422,642369423,633,9016e546e2db858f9db33af67f8646953620ddc4,unknown,unknown,,plain,,false,,,,,,,,,,,,9007
653436751,653436752,657,820453050aac5002f386fc54b0b3fe02ccc19df6,shell,ok,40,plain,,false,,,,,,,,,,,,9036
187770198,187770199,67,7d502e44e972bddd8b2f0ff8f4168408e9b89a11,java,ok,1,java-maven,junit,true,false,72,0,72,1,,,,,8.17,,3645
679363328,679363330,703,c2b9552b7dc2efaf5306b1c8c4fd1a6f335c1bcb,shell,unknown,13,plain,,false,,,,,,,,,,,,9241
681594259,681594261,726,d17b532c05aba9468dbaa67fbab7da8ed7d00a8e,shell,unknown,15,plain,,false,,,,,,,,,,,,9799
688597664,688597666,747,a6a2c675051b69639591f1443ab1fa14a1100130,shell,unknown,11,plain,,false,,,,,,,,,,,,10066
707393059,707393060,770,aa81221ebec02c3e739db78af20f3532014b30d3,shell,ok,11,plain,,false,,,,,,,,,,,,10196
740683926,740683927,795,0be71e6fd1b2cd7784f7df6d7139a59bdc9d6da6,shell,ok,9,plain,,false,,,,,,,,,,,,10544
756884595,756884598,818,5b3cdcf36d3d32cc7e2470a394f9cd9e9d59aa43,unknown,unknown,,plain,,false,,,,,,,,,,,,11376
