tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
78263783,78263784,112,aa9b3521abdd91eec5e7587e8e0d9c435c4d1e83,android,ok,1,plain,,false,,,,,,,,,,,,60890
79475586,79475587,123,bca503e6bec012f38eb1f84d79a0302cdc78c807,android,ok,1,plain,,false,,,,,,,,,,,,60929
93892726,93892727,143,bb2e3ce5ba705e1a046fc8bf85ed09c1bbaf8e1e,android,ok,2,plain,,false,,,,,,,,,,,,60961
94343500,94343501,163,cf3e1bccd7f6305f48e54db07de607a9f21fce4c,android,ok,2,plain,,false,,,,,,,,,,,,62308
94608847,94608848,173,737af4afd6e0b83d0a308ea23d8a31fe9d40aa9e,android,ok,2,plain,,false,,,,,,,,,,,,62386
95580637,95580638,183,0e90aa34967505422994dac48354659feef98d91,android,broken,1,plain,,false,,,,,,,,,,,,62653
116189267,116189269,193,cec6784d605572ff8d4a2e1b0ee3e487f4ee21ce,android,unknown,1,plain,,false,,,,,,,,,,,,62653
204842686,204842687,212,dea076d87a3c210b67509f183589723995c14bb2,android,broken,1,plain,,false,,,,,,,,,,,,62667
76043786,76043787,21,c22b1c66015622e543a7478b29b10818286e45f8,android,broken,1,plain,,false,,,,,,,,,,,,30900
76043841,76043842,22,ccb9b2b42633285ed306d0a8c1810e3c7b654843,android,broken,1,plain,,false,,,,,,,,,,,,30902
76079687,76079688,30,afa83765b64ec5eb11aaa479f9272f22464a0fcc,android,broken,0,plain,,false,,,,,,,,,,,,31137
76126743,76126744,40,028829c233f0c7124c3ea4959b461722cf53d7b8,android,ok,1,plain,,false,,,,,,,,,,,,31157
76486748,76486750,50,66bc1e39f034386fb82fb2cd56cbd0e7fe647026,android,ok,1,plain,,false,,,,,,,,,,,,31149
76622264,76622265,60,d9da843b238c0b9da33ae819c2f948f1151904d8,android,ok,2,plain,,false,,,,,,,,,,,,31131
76842402,76842403,70,a33efea95b555e0f6790fff9a064bd2f4899537d,android,ok,1,plain,,false,,,,,,,,,,,,31164
76941408,76941409,80,8d42551661276506b8e1a2efd935970bdb4388df,android,ok,1,plain,,false,,,,,,,,,,,,31204
