tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
27101909,27101910,10,466bc4ed642e53e5e1232a0cb22df6c1d3d90f3c,java,ok,,java-maven,junit,true,false,297,0,297,0,,,,,18.85,,16746
324750515,324750517,122,f2d3634bd0137b152d5670608eb7f04d6afff1f8,java,unknown,1,java-gradle,,false,,,0,,,,,,,,,18075
341850992,341851006,137,d104dc36eceec32e32bcae38614df50e906792df,java,ok,1,java-gradle,,false,,,0,,,,,,,,,17610
413898874,413898875,157,dd9784c56bd8bb5c3334ffa6e132896f9758b41e,java,ok,1,java-gradle,,false,,,0,,,,,,,,,17655
454077045,454077046,174,178c16c56a5aac293e17838f9c66e854a41658b6,java,ok,1,java-ant,,false,,,,,,,,,,,28.1,17716
540915020,540915022,188,52c46e5791ba3eece9941f04ea7b73fd7bf9ca16,java,unknown,,java-ant,,false,,,,,,,,,,,,18156
615333755,615333756,210,ecf361105ba5d87744085f569b7a196580f65b7a,java,unknown,,java-ant,,false,,,,,,,,,,,,18193
642608793,642608794,220,a0106f9e6eb58ec5188ed9a9bd19e147558adfb4,java,unknown,,java-ant,,false,,,,,,,,,,,,18199
722853784,722853785,230,a12ee57ae9775765e151d85e47114f4c64b71f38,unknown,unknown,,plain,,false,,,,,,,,,,,,18223
42338286,42338287,30,a5db995d63f5d3cf739bc0b7492976da0683eeea,java,ok,0,java-maven,junit,true,false,304,0,304,0,,,,,17.07,,17243
53129831,53129832,40,ddd19532b7d421d5a060e05f5161894c49edbb24,java,ok,1,java-maven,junit,true,false,312,0,312,0,,,,,25.92,,17405
175371192,175371194,47,3f96309d2c272ac0a30a5a1a02efb5d08c4de63e,unknown,unknown,,plain,,false,,,,,,,,,,,,17891
186487967,186487968,52,fa28ca6c08fed33b33bdc0758a1b0b802447e789,java,ok,1,java-ant,,false,,,,,,,,,,,21.28,17894
202025669,202025675,62,69284e8646bc82821f992e6e45aa621ba0c22885,java,ok,1,java-ant,,false,,,,,,,,,,,29.45,17904
220439202,220439203,68,63bed492ac90a31e22a2deb14e37a3d2c0fc8919,java,ok,1,java-ant,,false,,,,,,,,,,,21.16,17937
248100365,248100366,73,8681639ee778c70099f8f1e28bd8592460bdc1bc,java,ok,1,java-ant,,false,,,,,,,,,,,21.39,18011
248114301,248114305,78,5deed26d365ba0bd28b70e77e0186e23966c6b14,java,ok,1,java-ant,,false,,,,,,,,,,,29.12,18025
249695399,249695401,83,6ec4ed72dfb2bafa9dbcd142cdd01f76c9513ba1,java,ok,1,java-ant,,false,,,,,,,,,,,27.73,18033
