tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
72791253,72791254,100,e7efc647cacbea3ef419269422817c61f78ecbbd,android,ok,0,plain,,false,,,,,,,,,,,,3105
80555933,80555935,107,1023ebca46c5c32457eaf892ebbeb9b304b36122,android,ok,1,plain,,false,,,,,,,,,,,,3134
18110900,18110901,11,fe87f8db92f553612b14d74732313c56968cabcf,java,broken,,java-gradle,,false,,,0,,,,,,,,,2760
97370524,97370525,126,0f4bd56caff5a32923b3f30fa55c3277a3b57382,android,ok,1,plain,,false,,,,,,,,,,,,3386
156458521,156458522,139,5a76541388d622eee031318d1593e5851a039de6,android,unknown,2,plain,,false,,,,,,,,,,,,3440
19950038,19950039,15,a4c9b618af65d968d712978dc5d6e14be97cea0d,java,ok,,java-gradle,,false,,,0,,,,,,,,,2760
31262903,31262904,28,7e5f04660551099e3c4598c90f9ebad089ba7e66,ruby,broken,,ruby,,false,,,0,,,,,,,,,2764
33087033,33087034,40,04953c21ec2f6bce83b0ea879cfcb0d81b7d4c61,java,ok,,java-gradle,,false,,,0,,,,,,,,,2951
17226418,17226419,5,04ecc53d10535156dc1885c7e2c1bf6a54f5b518,java,unknown,,java-gradle,,false,,,0,,,,,,,,,2760
69859545,69859546,91,f3dce6803e0971c2312cc93b9b4f3267f2328537,android,unknown,0,plain,,false,,,,,,,,,,,,3099
