tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
167527625,167527626,12,c1721fb11027709fcc8aaed136614ff493118d12,android,ok,0,plain,,false,,,,,,,,,,,,1232
167531285,167531286,14,9710b98ce088db09a4684754867e996bd46ec2d0,android,ok,0,plain,,false,,,,,,,,,,,,1232
167564118,167564119,16,da102d569925e92e7edb385bc1a4e8ae26b9e6f8,android,ok,1,plain,,false,,,,,,,,,,,,1232
167960974,167960975,25,6089f9b0d196b8af022832ac60d38c6a1f58045d,android,unknown,0,plain,,false,,,,,,,,,,,,1232
167969202,167969203,29,f40e4c9692466da52d0fc227e8531a2d63c6a063,android,unknown,0,plain,,false,,,,,,,,,,,,1232
167987629,167987630,33,545e7c5710627caa5f579bf4c0fc1d7a7f5d90af,android,unknown,0,plain,,false,,,,,,,,,,,,1232
167427205,167427206,3,bc30b2cd4a4b5699ef1cac226b99bb0871ca645e,android,ok,0,plain,,false,,,,,,,,,,,,1118
167428117,167428119,4,76d8eea6cb60e67dc3d9866c1423521b2d219765,android,unknown,0,plain,,false,,,,,,,,,,,,1118
228991443,228991446,53,8ea15105ed2846e02d571cb68043c4931411ae62,android,ok,0,plain,,false,,,,,,,,,,,,1229
229861728,229861730,55,8ea15105ed2846e02d571cb68043c4931411ae62,android,ok,0,plain,,false,,,,,,,,,,,,1229
236813749,236813750,57,1ff7612011ced2322a21604a5e72efd73ba6ad7f,android,ok,0,plain,,false,,,,,,,,,,,,1237
