tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
373100267,373100268,100,b823ed87c5d7c7457fe488112419d5788e28cf95,java,ok,0,java-ant,,false,,,,,,,,,,,13.32,2356
20629496,20629498,10,d1c8a665a946ef06fd66ae9a7d40a0e4b7e84b0c,java,ok,,java-maven,junit,true,false,114,0,114,0,,,,,0.86,,1819
20630143,20630145,11,8998b5f11e9f2a2710080a80f817eec9d2b60767,java,ok,,java-maven,junit,true,false,114,0,114,0,,,,,1.0899999999999999,,1826
20630378,20630379,12,3fe5e020d881a8ed980d83629bd7dd8aa2eb2e50,java,ok,,java-maven,junit,true,false,114,0,114,0,,,,,0.82,,1821
21029428,21029431,15,5ca07f70f050a44500889ddbf5158f233df76761,java,ok,,java-maven,junit,true,false,115,0,115,0,,,,,0.39,,1845
21956849,21956851,19,3c0c0f5b4a1ca8382c70c70e29f9e6b4d7f0f57f,java,ok,,java-maven,junit,true,false,115,0,115,0,,,,,0.8899999999999999,,1838
24728517,24728518,22,f838c91f99cf9c508a8eea3c72364ac6d1ec0270,java,ok,,java-maven,junit,true,false,117,0,117,0,,,,,1.06,,1870
42689918,42689921,25,614bb82b17eb015bc5e6585cc15956767f1f41c0,java,ok,0,java-maven,junit,true,false,118,0,118,0,,,,,0.77,,1888
44236145,44236147,29,6e53f924bae67fa14b0b9fcc9c32fd349aa5abe3,java,broken,0,java-maven,junit,true,true,169,10,179,0,,,,delimiters#delimiters#delimiters#delimiters#delimiters#delimiters#delimiters#delimiters#delimiters#,1.17,,1984
44686476,44686477,32,8618f89f7e33bb24d043128bfc00ca1cd6c59551,java,ok,0,java-maven,junit,true,false,191,0,191,0,,,,,0.9,,2017
50078184,50078191,35,2957516854e0beb8f9ab294104b222e26b69513d,java,ok,0,java-maven,junit,true,false,191,0,191,0,,,,,1.11,,2017
53393535,53393536,42,69ebfdf6a0b8d9447a4e52eade7c2928e707340e,java,ok,0,java-maven,junit,true,false,191,0,191,0,,,,,1.09,,2025
54668581,54668584,45,1c50c28122e245b99466c5823c4b95d5d4e2d8a5,java,ok,0,java-ant,,false,,,,,,,,,,,28.73,2025
76805560,76805561,56,e7daae3912052a1afbf3aa70e8f1194005a1bbed,java,ok,0,java-ant,,false,,,,,,,,,,,14.0,2077
81493959,81493960,64,f121c11e6f3ebef66e31c76bbf77e67733da086f,java,unknown,1,java-ant,,false,,,,,,,,,,,,2129
98724466,98724467,72,9eda17f85bfd8849850bdafa92d2f6ffe12bb71f,java,ok,0,java-ant,,false,,,,,,,,,,,19.65,2131
137886784,137886785,81,9bb842ed203d4e82147becd1e6ee7dc44267b961,java,ok,3,java-ant,,false,,,,,,,,,,,29.27,2257
