tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
50820804,50820806,12,1fecc6468481b332a2155e515c87214a9d4ff201,android,ok,0,plain,,false,,,,,,,,,,,,941
51703418,51703420,15,70e669b78669d3b1eacad522fc4ab62cc8894710,android,broken,0,plain,,false,,,,,,,,,,,,1003
53146603,53146604,21,7460d4c5bc328bacf3abc1afa6b0be36f39c8eaf,android,broken,0,plain,,false,,,,,,,,,,,,1032
53293020,53293021,24,8b45c9eb089752c8c66341bdc1a7a9e41673a5b2,android,ok,0,plain,,false,,,,,,,,,,,,1032
45131281,45131282,2,d31d69bb47f2dffbe451891477fc0107dd953395,android,broken,0,plain,,false,,,,,,,,,,,,929
45131826,45131827,3,4f5e9d0be2a5b12418e43850e54c03bd41a97f76,android,ok,0,plain,,false,,,,,,,,,,,,929
59966354,59966355,44,c7f401cc71a565ad20d1433848cd722b6be6e620,android,broken,1,plain,,false,,,,,,,,,,,,1896
45267264,45267265,5,db162b06130837f3960e3aa622779ab4cdfff566,android,ok,0,plain,,false,,,,,,,,,,,,929
77907628,77907629,64,adc3398bb08df8ed2492bbe0b432e0b6913c1c8b,android,ok,0,plain,,false,,,,,,,,,,,,1934
45276676,45276677,6,84edcc34a656c54eb9483d80c503122c30054984,android,ok,0,plain,,false,,,,,,,,,,,,929
45279667,45279668,7,4e5c858d5206816df37575f7d221305f46d155cf,android,ok,0,plain,,false,,,,,,,,,,,,937
563513111,563513114,94,704cd6d1a1a403452acb6c0a1505b2e237983e31,android,ok,1,plain,,false,,,,,,,,,,,,1986
