tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
78792125,78792126,100,36157904f96035bad35dc3a60926f39138aead15,android,ok,0,plain,,false,,,,,,,,,,,,11068
89207668,89207670,118,c360110a24a319ac1f636312352b384250507d27,android,ok,1,plain,,false,,,,,,,,,,,,11069
110630115,110630116,135,85bff00fa78c98b579206878ec22e3bd70be3b25,android,ok,1,plain,,false,,,,,,,,,,,,11197
118523463,118523466,159,5053cb639d03acea11180efa6aa9f80d2bce62c1,android,ok,1,plain,,false,,,,,,,,,,,,11438
70590946,70590947,21,365b484f836fad0fa8960db3371e8d9db5a6a1a9,android,broken,0,plain,,false,,,,,,,,,,,,9904
192731690,192731692,261,6833c5165a70819dfb00760d0a6f082d26c080fd,android,broken,1,plain,,false,,,,,,,,,,,,16955
64226623,64226624,2,cba11b79cd7c2bbea22a8943ad8fca8cdd904a22,android,broken,0,plain,,false,,,,,,,,,,,,9896
220591258,220591259,342,4be693d0387d8b222054dcce9da6c9f3a22370ec,android,ok,1,plain,,false,,,,,,,,,,,,17911
71688112,71688115,35,eaa54e58c34dd9caeb67f1f6c21de23ebfffd9c2,unknown,unknown,,plain,,false,,,,,,,,,,,,9970
252767103,252767104,378,03b2a682e977e64479b705a565dd078caf2accd7,android,ok,1,plain,,false,,,,,,,,,,,,17965
285954321,285954325,402,405c74d4379ac624709e84a81e5da60d341d9630,android,ok,1,plain,,false,,,,,,,,,,,,17965
469073802,469073803,463,81564461c6369e17eb1b2b925b12853695973557,android,broken,5,plain,,false,,,,,,,,,,,,19709
74414219,74414220,56,7b266ab1a6db4b8d12224b03c51db43e19e45ac2,android,broken,0,plain,,false,,,,,,,,,,,,10479
