tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
509966001,509966002,100,677054c1631736c3a5420836bc83ca25aa823523,android,ok,1,plain,,false,,,,,,,,,,,,87
553228494,553228497,111,1d8c038b4575417ed593aecef16e76dae52ab350,android,ok,1,plain,,false,,,,,,,,,,,,87
597490412,597490415,116,23d041509cf1086f76dbc286b0dba096902eb1ca,android,ok,1,plain,,false,,,,,,,,,,,,87
601221532,601221539,120,cbb5c179cea12e5aabcb891a20489de1fafda934,android,ok,1,plain,,false,,,,,,,,,,,,87
642011090,642011097,124,bf5a4e7a2c75e011f642ef65a15fc57acdccff49,android,ok,0,plain,,false,,,,,,,,,,,,87
666671362,666671386,129,3db31c11ecdc1d23db568c203c76b332b8d12981,android,ok,1,plain,,false,,,,,,,,,,,,87
390115291,390115295,31,b11d5efe55cacae1e9edfb7f5978949d9d0dac18,java,ok,1,java-gradle,,false,,,0,,,,,,,,,89
420139427,420139437,43,258c9b451b397233c044352c062f55b30739aed2,unknown,unknown,,plain,,false,,,,,,,,,,,,89
422461255,422461263,56,162e54ab508ac63f482d1f55ad4e30d475111ecc,android,ok,1,plain,,false,,,,,,,,,,,,89
428103724,428103730,64,949bb217868a62ee8e2e7c403e86408ca25695a4,android,ok,1,plain,,false,,,,,,,,,,,,89
439523963,439523967,72,967a20bbb6754ccddcf469f93d1c14ff4c2c8da2,android,ok,1,plain,,false,,,,,,,,,,,,89
475278268,475278278,82,bf6656f725f819b14b7885dec3acf69a73c47c14,android,ok,1,plain,,false,,,,,,,,,,,,89
493821932,493821941,93,263d18eeb4f2c4094846e52bd5d46607748e9df1,android,ok,1,plain,,false,,,,,,,,,,,,89
497136626,497136640,96,831570df04cbb4fea2051334fbd981c0c3826f10,android,ok,1,plain,,false,,,,,,,,,,,,89
