tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
563869918,563869927,5135,cde3d464a63845868d43ea20c9e5448432437524,java,ok,1,java-ant,,false,,,,,,,,,,,,18827
567090901,567090909,5297,cf7a0499dec246c854387694da8c74e3e81e1855,java,ok,1,java-gradle,,false,,,0,,,,,,,,,18828
570928596,570928603,5451,67672a1b1144beae0254040ea49cb045bc6c77ed,java,ok,1,java-gradle,,false,,,0,,,,,,,,,19063
575189931,575189937,5597,246332d347475fa1f1d3665f9c267e7bb4dd4524,java,ok,1,java-gradle,,false,,,0,,,,,,,,,19063
576591737,576591742,5672,e6cd4f51523a1b4e4c5f5821a6fe9bd1081702c3,java,ok,1,java-gradle,,false,,,0,,,,,,,,,19149
578224179,578224183,5685,040b35dd2b7163b1687ca9f5d39f7de7e67f1df9,java,ok,1,java-gradle,,false,,,0,,,,,,,,,19220
580576095,580576098,5701,0d8b42b47fcfd5f7cf41c9c7324dca32f73f1d8d,java,ok,1,java-gradle,,false,,,0,,,,,,,,,19254
582535165,582535167,5719,fc5f971711ef74f14434c0115664d26bd0299c1c,java,ok,1,java-gradle,,false,,,0,,,,,,,,,19266
584004772,584004773,5732,520f86cf767b5f4ebd3aac7e510aa61a85aa30d7,java,ok,1,java-gradle,,false,,,0,,,,,,,,,19266
586862175,586862184,5744,0fcaca7cd3ebc8b3e168617257c26b4e1c842cb7,java,ok,1,java-ant,,false,,,,,,,,,,,,19266
590268354,590268362,5760,e717e8375c13fe416fa5860fe06a0caef48d8590,java,ok,1,java-gradle,,false,,,0,,,,,,,,,19258
593569793,593569800,5774,bc082a84f24ec9fdb0dc06eed7204d61ea45c2db,java,ok,1,java-gradle,,false,,,0,,,,,,,,,19249
596306857,596306863,5788,8104c0c5c92d4f24003fc6a7f8dcc18835488c6e,java,ok,1,java-gradle,junit,true,false,,0,,,,,,,,,19310
599311681,599311686,5801,3bff1d0b614b23b8a56292aa5de77637f5860198,unknown,unknown,,plain,,false,,,,,,,,,,,,19310
604881683,604881688,5814,eb69320384a8c2988f17907b297760a0d4cf0167,unknown,unknown,,plain,,false,,,,,,,,,,,,19601
608151371,608151375,5827,9b1077bb86ee6bad919915aeb8e70504101c77ab,java,ok,2,java-gradle,junit,true,false,,0,,,,,,,,,19725
610394838,610394840,5840,c0277514327097abadaed58dadaa375c32fcdb5c,java,ok,2,java-gradle,junit,true,false,,0,,,,,,,,,20042
617615104,617615105,5855,8fb199ff32386f5f83961a60471ef10e7a379a72,java,ok,2,java-gradle,junit,true,false,,0,,,,,,,,,20221
618089761,618089770,5867,3826190f2ac57117bd6b36d807f7006076de5f5a,java,ok,2,java-ant,,false,,,,,,,,,,,,20882
