tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
119559563,119559564,10,32dc88433e66cadfbe4756ef067cd694dbfe70bd,android,ok,3,plain,,false,,,,,,,,,,,,1246
119559647,119559648,11,f06c501e6bd2e9d929e70bb1cd1dc7a47b01601d,android,ok,2,plain,,false,,,,,,,,,,,,1246
119609281,119609282,12,2ee86c30f26c4364c3c8aa59b52750f89580d903,android,ok,2,plain,,false,,,,,,,,,,,,1246
119611168,119611169,13,e0b77a15da770b1f380ae3b019c8e1f9216778cc,android,ok,4,plain,,false,,,,,,,,,,,,1246
119742416,119742417,15,e0b77a15da770b1f380ae3b019c8e1f9216778cc,android,ok,2,plain,,false,,,,,,,,,,,,1246
119749719,119749720,21,4363cd293d6f2d793c30e1a92870d7e65694a36b,android,ok,2,plain,,false,,,,,,,,,,,,1249
119749883,119749884,22,4363cd293d6f2d793c30e1a92870d7e65694a36b,android,ok,3,plain,,false,,,,,,,,,,,,1249
119750525,119750526,23,ce45e4bba7f7cf4b2a6e3f856473f052c69e0ba2,android,broken,3,plain,,false,,,,,,,,,,,,1249
119750595,119750596,24,ce45e4bba7f7cf4b2a6e3f856473f052c69e0ba2,android,broken,2,plain,,false,,,,,,,,,,,,1249
119752459,119752460,25,7c772d9c335337b00e7d0e664504aa6c226b9d06,android,ok,2,plain,,false,,,,,,,,,,,,1249
119752500,119752501,26,7c772d9c335337b00e7d0e664504aa6c226b9d06,android,ok,2,plain,,false,,,,,,,,,,,,1249
121629166,121629167,28,7230711f37a2323adafc3a332a6683013bf37ebb,android,ok,2,plain,,false,,,,,,,,,,,,1249
122461221,122461222,30,1cf2d6ef34ab0815019a07626d0a3e70600b1b2e,android,ok,2,plain,,false,,,,,,,,,,,,1249
127766944,127766945,33,1cf2d6ef34ab0815019a07626d0a3e70600b1b2e,android,ok,2,plain,,false,,,,,,,,,,,,1249
119552113,119552114,3,cfd96b434179977f4dbe56074cb2e4fd3c539903,android,broken,3,plain,,false,,,,,,,,,,,,1246
