tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
139508637,139508638,100,261dc28475cd289ec738c8ad33babd3560fbcc9a,java,ok,4,java-maven,junit,true,false,52,0,52,0,,,,,0.52,,1214
36010819,36010822,10,6985d2c79745ed7c3e2959ca659bc4eef4d45ba0,java,ok,,java-maven,junit,true,false,23,0,23,0,,,,,0.55,,431
36063306,36063307,11,6ec3546137687af6cac5cdeadea0c266b980ecd9,java,ok,,java-maven,junit,true,false,23,0,23,0,,,,,0.6799999999999999,,431
36064406,36064409,12,6ec3546137687af6cac5cdeadea0c266b980ecd9,java,ok,,java-maven,junit,true,false,23,0,23,0,,,,,0.67,,431
288246246,288246249,151,99f46817ebde09ba21b62431a528d4a3f084ac3a,java,ok,1,java-maven,junit,true,false,5704,0,5704,2822,,,,,2.91,,1380
46091727,46091730,17,e8d06f2414cd4a75553d8cc1632319d023e1ce5e,java,ok,0,java-maven,junit,true,false,24,0,24,0,,,,,0.64,,496
46131996,46131997,18,39dc4db0849ace9e93ec17bd8a43e19693e9af43,java,ok,0,java-maven,junit,true,false,24,0,24,0,,,,,1.1,,496
47450904,47450907,19,80ba72754d1be0bca8c0fc7b85b301c61cfbb692,java,ok,0,java-maven,junit,true,false,24,0,24,0,,,,,0.62,,496
582735929,582735933,209,583006749fe6acd27de36c7523b7757429ceae61,java,ok,1,java-maven,junit,true,false,10775,0,10775,3570,,,,,2.85,,1461
54382540,54382542,29,8ccafd327c6a7ac383c864a69d8c16c5a6888706,java,ok,0,java-maven,junit,true,false,27,0,27,0,,,,,0.85,,538
76712842,76712844,47,f234d6f718da35af9fca28822e66aa3c6db74986,java,ok,0,java-maven,junit,true,false,44,0,44,0,,,,,0.62,,797
