tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
503178559,503178560,1858,6d014c2f79f5a907752252a7a580838dcab2c0e7,android,broken,362,plain,,false,,,,,,,,,,,,47896
505677910,505677913,1902,e1174de19ac59d436aee87f870e2fc276f6fcc24,android,broken,6,plain,,false,,,,,,,,,,,,47986
511107084,511107085,1941,ecfcaed4af8d0300d849aafed176028fb0526abc,android,broken,12,plain,,false,,,,,,,,,,,,46774
514038813,514038814,1971,2aff5c75934eb96731a3c86ae1227a4012fc4045,android,broken,9,plain,,false,,,,,,,,,,,,46626
514111170,514111171,1982,47beeb65822336497b4fc8e7f929eaa8d0bf6de6,android,broken,8,plain,,false,,,,,,,,,,,,46626
515805753,515805754,2015,ad8f19a95731b56b1ab58251b1e9e15b914e7393,android,broken,7,plain,,false,,,,,,,,,,,,46578
527803067,527803068,2153,798205c92e7c97542bf89ac3ad7f07722815410c,android,broken,7,plain,,false,,,,,,,,,,,,46296
527812868,527812869,2156,1cd7175543980252d4262dc71b84680f72e50eed,unknown,unknown,,plain,,false,,,,,,,,,,,,46296
560590826,560590827,2234,0e7c3aaa803176aa266bbc5d66990e050a4ae767,android,broken,7,plain,,false,,,,,,,,,,,,46404
561001193,561001194,2239,3b053b699cedb95f065a9e5c5e0d399a7e8f500d,android,broken,7,plain,,false,,,,,,,,,,,,46404
563122328,563122329,2246,f1d310d84e28b075f0e7844379442aeef3ac5e97,android,ok,6,plain,,false,,,,,,,,,,,,46404
578437083,578437084,2326,4dc4125c5cfaa427b53c69deec2c8f279e65990d,android,broken,6,plain,,false,,,,,,,,,,,,46555
583245963,583245964,2382,f04ca01000549f76a2fbb21b9ef372c952ad3b03,android,broken,7,plain,,false,,,,,,,,,,,,46620
584551776,584551777,2401,a3135279fabd728929cd24073c0422e123828deb,android,broken,8,plain,,false,,,,,,,,,,,,46620
594668162,594668163,2513,35626cc07acc88ce715d58dd2ee29cd4ac3ae5f4,android,broken,6,plain,,false,,,,,,,,,,,,47059
595679678,595679679,2537,b98798510f7e90a8e38c030b08a0f198d06eedbe,android,broken,7,plain,,false,,,,,,,,,,,,47063
616581417,616581418,2622,5da259a7428ec14a97ed28943c7021fa60d276e2,android,broken,10,plain,,false,,,,,,,,,,,,46942
648413022,648413023,2648,6f8ee3c4f5a9b9611eb0e39804b4435171407a67,android,broken,5,plain,,false,,,,,,,,,,,,46942
686564201,686564202,2696,0185e566af40d78d16776813d7343b678e03b72c,android,broken,7,plain,,false,,,,,,,,,,,,46940
689425935,689425936,2699,84a1e493798fd9a233bd057b475333e0f7e798d4,android,broken,6,plain,,false,,,,,,,,,,,,46940
