tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,loc
100121883,100121886,10,7f8b41881a8459ba0b4c249279fad021901bc012,android,ok,0,plain,,false,,,,,,,,,,,,518
100304550,100304551,14,e9cc87ec6dc78a83f58ec839f412ccc678286cb9,android,ok,1,plain,,false,,,,,,,,,,,,752
100501651,100501652,18,ead173f84886c6d3686da9427bbae164db680220,android,ok,0,plain,,false,,,,,,,,,,,,816
101890675,101890676,21,d52df4c7cbd74b44ded16ba4e693e5e1e5c8270e,android,ok,1,plain,,false,,,,,,,,,,,,818
102050421,102050422,25,6c276c8daf720659548363f6a140b4a40075172a,android,ok,1,plain,,false,,,,,,,,,,,,846
102134861,102134862,29,f4dd20181f7369b0fc98c0cdd22c41624a77b46a,android,ok,1,plain,,false,,,,,,,,,,,,887
102775911,102775912,32,f1d7603295a04ddc2fb586800b382b02aaa916d2,android,ok,1,plain,,false,,,,,,,,,,,,916
103094112,103094113,36,2130ed369d43a8dc7f2b96659338c2a3952b92ca,android,ok,1,plain,,false,,,,,,,,,,,,970
99611046,99611047,3,622527ae0a05149532c1ca0a2cb04dc1169b5aa6,unknown,unknown,,plain,,false,,,,,,,,,,,,271
118778033,118778034,43,4989abf6e073faf801eb316df66402168ba99b1b,android,ok,1,plain,,false,,,,,,,,,,,,985
137281091,137281092,50,1c70dc2b1d6654bac56a83672fab6d724e4dbad4,android,ok,1,plain,,false,,,,,,,,,,,,998
171780604,171780605,54,599873e2f71f098d30714edb6fe6444a2fd9bac0,android,broken,1,plain,,false,,,,,,,,,,,,1131
181970607,181970608,58,f8ce5884684ed4d72623b60617b8da1daba65cb0,unknown,unknown,,plain,,false,,,,,,,,,,,,1279
201522168,201522169,61,84cca768c7667974bc9bd3075dcb05c518bd2d36,android,broken,1,plain,,false,,,,,,,,,,,,1280
207935885,207935886,65,91349ee7e7bd4ab63034e7a004239981c24e331b,android,broken,1,plain,,false,,,,,,,,,,,,1303
220277784,220277785,69,4c72ba29fbc65fe5e27835dfea3f2a378d27ed4f,android,broken,1,plain,,false,,,,,,,,,,,,1306
222514504,222514505,72,95f4b21a7d02fdbd140b3faeac35ed637a378fdd,android,broken,1,plain,,false,,,,,,,,,,,,1334
232493385,232493386,76,9b1b7f9cbc0f72d1519335ecf000c09e95204931,android,broken,1,plain,,false,,,,,,,,,,,,1340
100044116,100044117,7,48e2ad084f375fa4e73772920d9d8bd5b1b4c606,android,ok,0,plain,,false,,,,,,,,,,,,406
